CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
AUS_proletarian_dictatorship1;오스트리아 인민공화국;East Austria;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
AUS_proletarian_dictatorship1_ADJ;동오스트리아령;East Austrian;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BKF;발칸 연방;The Balkan Federation;F??ation balkanique;;;Federaci? de Rep?licas Balc?icas;;;;;;;;;x;;;;;;;;;;;;;;;;
BKF_ADJ;발칸령;Balkan;;Balkanisch;Balkanski;Balc?ico;;;;;;;;;x;;;;;;;;;;;;;;;;
BKF_proletarian_dictatorship;발칸 연합;The Balkan Union;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BKF_hms_government;발칸 제국;The Balkan Empire;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BKF_populist_dictatorship;발칸 공화국;The Balkan Republic;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BKF_nationalist_dictatorship;발칸 공화국;Republic of the Balkans;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
END_ADJ;잉글랜드령;English;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
END;잉글랜드;England;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BNL;저지대 연방;Benelux Union;;;;;;;;x;;;;;;;;;;;;;
BNL_populist_dictatorship;네덜란드 연합;United Netherlands;;;;;;;;x;;;;;;;;;;;;;
BNL_proletarian_dictatorship;저지대 인민연합;Union of Low Countries;;;;;;;;x;;;;;;;;;;;;;
BNL_absolute_monarchy;저지대 왕국;Kingdom of the Benelux;;;;;;;;x;;;;;;;;;;;;;
BNL_ADJ;저지대령;Beneluxian;;;;;;;;x;;;;;;;;;;;;;
BNL_populist_dictatorship_ADJ;네덜란드령;Dutch;;;;;;;;x;;;;;;;;;;;;;
BRZ_ADJ;브라질령;Brazilian;;;;;;;;x;;;;;;;;;;;;;
CMR_mandate_government_ADJ;카메룬령;Camerounais;Camerounais;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
CMR_mandate_government;카메룬;Cameroun;Cameroun;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
CMR;Cameroon;카메룬;Cameroun;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
CMR_ADJ;카메룬령;Cameroonian;Camerounais;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
CZH;체코슬로바키아;Czechoslovakia;Tch?oslovaquie;Tschechoslowakei;;Checoslovaquia;;;;;;;;;x;;;;;;;;;;;;;;;;
CZH_ADJ;체코슬로바키아령;Czechoslovak;Tch?oslovaque;Tschechoslowakisch;;checoslovaca;;;;;;;;;x;;;;;;;;;;;;;;;;
DRZ_colonial_government;자발 드루즈국;Jabal Druze State;x
DRZ;드루즈;Druze;x
DRZ_ADJ;드루즈령;Jabalian;x
HOU;후티;Houthis;Houthis;Huthi;;Houthis;;;;;;;;;x;;;;;;;;;;;;;;;;
HOU_ADJ;후티령;Houthi;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ISI;이슬람 공화국;The Islamic Republic;;;;;;;x
ISI_proletarian_dictatorship;반제국주의국;The Anti-Imperialist State;;;;;;;x
ISI_theocracy;이슬람 국가;The Islamic State;;;;;;;x
ISI_ADJ;IS령;Islamic;;;;;;;x
ISI_proletarian_dictatorship_ADJ;반제국주의령;Anti-Imperialist;;;;;;;x
ISR_hms_government;이스라엘 자치령;The Dominion of Israel;Isra?;Israel;;Israel;;;;;;;;x;;;;;;;;;;;;;;;;;
ISR;이스라엘;Israel;Isra?;Israel;;Israel;;;;;;;;x;;;;;;;;;;;;;;;;;
ISR_ADJ;이스라엘령;Israeli;isra?ien;Israelitisch;;Israel?;;;;;;;x;;;;;;;;;;;;;;;;;
ICB_ADJ;베를린령;Berliner;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
ICB;베를린 국제시;International City of Berlin;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
QGD;칭다오;Qingdao;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
QGD_ADJ;칭다오령;Qingdao;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
QGD_colonial_government;칭다오 조차지;Tsingtau;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
ROA;오스트리아 공화국;West Austria;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
ROA_ADJ;서오스트리아령;West Austrian;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
SCS_ADJ;남사군도령;Asian;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
SCS;남사군도;South China Sea Islands International Zone;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
FBU_ADJ;영불령;Anglo-French;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
FBU;브리튼-프랑스 연합;The Franco-British Union;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
FBU_hms_government;브리타니아-프랑스 연합왕국;The United Kingdom of Britain and France;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
JRU_ADJ;예루살렘령;Jerusalite;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
JRU;예루살렘 국제시;International City of Jerusalem;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
LOU;루이지안느;Louisiana;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
LOU_ADJ;루이지안느령;Louisianian;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
LOU_nationalist_dictatorship;루이지안느국;Louisiane;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
LOU_nationalist_dictatorship_ADJ;루이지안느령;Louisianais;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
LSK;알래스카;Alaska;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
LSK_ADJ;알래스카령;Alaskan;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
LSK_colonial_government;알래스카 자치령;Alyaska;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
MSU;모술;Mosul;Mossoul;Mossul;Mosul;Mosul;;;;;;;;;x;;;;;;;;;;;;;;;;
MSU_ADJ;모술령;Moswali;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
TGZ;탕헤르;Tangier;Tanger;Tanger;;T?ger;;;;;;;;;x;;;;;;;;;;;;;;;;
TGZ_sar_government;탕헤르 국제지구;Tangier International Zone;Zone internationale de Tanger;Internationale Zone von Tanger;;Zona Internacional de T?ger;;;;;;;;;x;;;;;;;;;;;;;;;;
TGZ_ADJ;탕헤르령;Tangerian;Tangerois;;;Tangerino;;;;;;;;;x;;;;;;;;;;;;;;;;
ORM;오로미아;Oromia;Oromia;Oromia;Oromia;Orom?;;;;;;;;;x;;;;;;;;;;;;;;;;
ORM_ADJ;오로미아령;Oromo;Oromo;Oromo;Oromo;Oromo;;;;;;;;;x;;;;;;;;;;;;;;;;
YOR;요루바랜드;Yorubaland;Yorubaland;Yorubaland;Yorubaland;Yorubaland;;;;;;;;;x;;;;;;;;;;;;;;;;
YOR_ADJ;요루바랜드령;Yoruba;Yoruba;Yoruba;Yoruba;Yoruba;;;;;;;;;x;;;;;;;;;;;;;;;;
USY;시리아 임시정부;Syrian Interim Government;Gouvernement syrien en exil;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
USY_ADJ;시리아령;Syrian;Syrien;;;Sirio;;;;;;;;;x;;;;;;;;;;;;;;;;
WEI;웨이하이;Weihai;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
WEI_ADJ;웨이하이령;Weihai;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
WEI_colonial_government;웨이하이요새;Weihaiwei;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
XEF_colonial_government;동아프리카 연방;East African Federation;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
XEF_hms_government;동아프리카 연방;Federation of East Africa;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
XEF;동아프리카;East Africa;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
XEF_ADJ;동아프리카;East African;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
CUR_colonial_government;앤틸리스;Antilles;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
