party_communist_0_AAB;공산당;Communist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_AAB;보수당;Conservative Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_AAB;자유당;Liberal Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_AAB;대중당;Populist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_AAB;진보당;Progressive Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_AAB;사회당;Socialist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_AAB;전통당;Traditionalist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_ABK;공산당;Communist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_ABK;보수당;Conservative Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_ABK;자유당;Liberal Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_ABK;대중당;Populist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_ABK;진보당;Progressive Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_ABK;사회당;Socialist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_ABK;전통당;Traditionalist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_ABZ;공산당;Communist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_ABZ;보수당;Conservative Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_ABZ;자유당;Liberal Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_ABZ;대중당;Populist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_ABZ;진보당;Progressive Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_ABZ;사회당;Socialist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_ABZ;전통당;Traditionalist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_ADJ;공산당;Communist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_ADJ;보수당;Conservative Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_ADJ;자유당;Liberal Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_ADJ;대중당;Populist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_ADJ;진보당;Progressive Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_ADJ;사회당;Socialist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_ADJ;전통당;Traditionalist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_ADL;공산당;Communist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_ADL;보수당;Conservative Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_ADL;자유당;Liberal Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_ADL;대중당;Populist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_ADL;진보당;Progressive Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_ADL;사회당;Socialist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_ADL;전통당;Traditionalist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_natinalist_0_AFG;자미아티 이슬라미;Jamiat;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_AFG;아프가니스탄 국민이슬람운동;Junbish;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_1_AFG;아프가니스탄 인민이슬람통일당;PIUPA;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_AFG;아프간 멜라트;Afghan Mellat;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_AFG;민족통일당;National United Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_1_AFG;파슈툰 탈레반;Pashtun Taliban;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_AFG;인민민주당;People's Democratic Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_AFG;탈레반;Taliban;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_ALA;올란드 좌파;Alandic Left;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_nationalist_0_ALA;올란드의 미래;Future of Aland;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_big_tent_0_ALA;올란드 중도;Alandic Centre;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_ALA;올란드 중도연합;Moderate Coalition for Aland;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_ALA;올란드의 자유주의자;Liberals for Aland;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_ALA;올란드의 민주주의;Alandic Democracy;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_ALA;녹색 올란드;Greens on Aland;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_ALA;올란드 사회민주당;Aland Social Democrats;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_ALA;비동맹 운동;Non-aligned Coalition;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_1_ALB;알바니아 민족전선당;Albanian National Front Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_ALB;벡타시 교단;Bektashis;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_ALB;알바니아 민주당;Democratic Party of Albania;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_ALB;노동당;Party of Labour;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_ALB;티토주의 노동당;Party of Labour Titoist;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_ALB;알바니아 공화당;Republican Party of Albania;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_ALB;알바니아 사회당;Socialist Party of Albania;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_ALB;인권연합당;Unity for Human Rights Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
