CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
bio_used;최근 생물무기 사용;Recently Used Biological Weapons;;;;;;;;;;x
EVTDESC1412061;생물전은 인간, 동물, 식물을 죽이거나 무력화시키기 위한 목적으로 독소나 박테리아, 바이러스, 곰팡이와 같은 전염성 물질을 사용하는 행위를 일컫습니다. 생물무기는 생물체 또는 복제 개체(바이러스, 그중에서도 보편적으로 '살아있다'고 간주하지 않는 바이러스)를 이용하며, 곤충 역시 같은 종류로 여겨집니다. 이런 종류의 전쟁은 생물전과 함께 화생방을 구성하는 핵전쟁 및 화학전과 함께 전통적인 전쟁과는 구별됩니다.;Biological warfare is the use of biological toxins or infectious agents such as bacteria, viruses, and fungi with the intent to kill or incapacitate humans, animals or plants as an act of war. Biological weapons are living organisms or replicating entities (viruses, which are not universally considered "alive") that reproduce or replicate within their host victims. Entomological (insect) warfare is also considered a type of biological weapon. This type of warfare is distinct from nuclear warfare and chemical warfare, which together with biological warfare make up NBC, the military acronym for nuclear, biological, and chemical warfare using weapons of mass destruction. None of these are conventional weapons, which are deployed primarily for their explosive, kinetic, or incendiary potential.;;;;;;;;;;x
develop_bio_weapons;생물무기 개발 중;Developing Biological Weapons;;;;;;;;;;x
bio_nation;생물무기 보유국;Possess Biological Weapons;;;;;;;;;;x
biological_attack;생물무기의 국토 유린;Biological Weapons Ravaging our Nation;;;;;;;;;;x
vaccine_development;생물무기 백신 개발 중;Vaccine for Biological Weapons Outbreak in development;;;;;;;;;;x
development_bio_weapons_title;생물무기 개발;Develop Biological Weapons;;;;;;;;;;x
development_bio_weapons_desc;생물전은 인간, 동물, 식물을 죽이거나 무력화시키기 위한 목적으로 독소나 박테리아, 바이러스, 곰팡이와 같은 전염성 물질을 사용하는 행위를 일컫습니다. 생물무기는 생물체 또는 복제 개체(바이러스, 그중에서도 보편적으로 "살아있다"고 간주되지 않는 바이러스)를 이용하며, 곤충 역시 같은 종류로 여겨집니다. 이런 종류의 전쟁은 생물전과 함께 화생방을 구성하는 핵전쟁 및 화학전과 함께 전통적인 전쟁과는 다릅니다.;Biological warfare is the use of biological toxins or infectious agents such as bacteria, viruses, and fungi with the intent to kill or incapacitate humans, animals or plants as an act of war. Biological weapons are living organisms or replicating entities (viruses, which are not universally considered "alive") that reproduce or replicate within their host victims. Entomological (insect) warfare is also considered a type of biological weapon. This type of warfare is distinct from nuclear warfare and chemical warfare, which together with biological warfare make up NBC, the military acronym for nuclear, biological, and chemical warfare using weapons of mass destruction. None of these are conventional weapons, which are deployed primarily for their explosive, kinetic, or incendiary potential.;;;;;;;;;;x
remove_bio_weapons_title;생화학무기 재고 처분;Destroy our stocks of Biological Weapons;;;;;;;;;;x
remove_bio_weapons_desc;생화학전은 인간, 동물, 식물을 죽이거나 무력화시키기 위한 목적으로 독소나 박테리아, 바이러스, 곰팡이와 같은 전염성 물질을 사용하는 행위를 일컫습니다. 생물무기는 생물체 또는 복제 개체(바이러스, 그중에서도 보편적으로 "살아있다"고 간주되지 않는 바이러스)를 이용하며, 곤충 역시 같은 종류로 여겨집니다. 이런 종류의 전쟁은 생물전과 함께 화생방을 구성하는 핵전쟁 및 화학전과 함께 전통적인 전쟁과는 다릅니다.;Biological warfare is the use of biological toxins or infectious agents such as bacteria, viruses, and fungi with the intent to kill or incapacitate humans, animals or plants as an act of war. Biological weapons are living organisms or replicating entities (viruses, which are not universally considered "alive") that reproduce or replicate within their host victims. Entomological (insect) warfare is also considered a type of biological weapon. This type of warfare is distinct from nuclear warfare and chemical warfare, which together with biological warfare make up NBC, the military acronym for nuclear, biological, and chemical warfare using weapons of mass destruction. None of these are conventional weapons, which are deployed primarily for their explosive, kinetic, or incendiary potential.;;;;;;;;;;x
use_bio_weapons_title;생물무기 사용;Use Biological Weapons against our opponents;;;;;;;;;;x
use_bio_weapons_desc;보유한 생물무기를 사용해 적국을 망가뜨리고 그들의 전쟁수행능력을 떨어트릴 수 있습니다. 이를 위해서는 시민들의 사기를 떨어뜨리고 노동자들을 죽이기 쉬운 도심으로 무기를 발사하는 것이 안성맞춤입니다.\n\n[SUB_A7]Y생물무기가 목표 국가 너머로 확산될 위험이 있습니다.[SUB_A7]W;As we possess Biological Weapons, we can use it against our enemies in the hope of damaging their nation and reducing their war capacity. The weapons will be released into their civilian centres to demoralise their citizens and kill off their workers.\n\n[SUB_A7]YThere is a risk of the biological weapons spreading beyond just the target country[SUB_A7]W;;;;;;;;;;x
develop_vaccine_title;생물무기 백신 개발;Develop a vaccine to counteract the Biological Weapons ravaging our nation;;;;;;;;;;x
develop_vaccine_desc;백신은 특정 질병에 대해 적극적인 면역력을 제공하는 생물학적 물질입니다. 백신은 전형적으로 종종 약해지거나 죽은 형태의 미생물, 독소 또는 표면 단백질로 만들어져 질병을 일으키는 미생물과 유사한 물질을 포함하고 있습니다. 이 물질은 인체의 면역체계가 이 물질을 위협으로 인식하고 파괴한 후 기록을 통해 후에 마주치는 미생물을 더 쉽게 인식하고 파괴할 수 있도록 자극합니다.;A vaccine is a biological preparation that provides active acquired immunity to a particular disease. A vaccine typically contains an agent that resembles a disease-causing microorganism and is often made from weakened or killed forms of the microbe, its toxins or one of its surface proteins. The agent stimulates the body's immune system to recognise the agent as a threat, destroy it, and keep a record of it so that the immune system can more easily recognise and destroy any of these microorganisms that it later encounters.;;;;;;;;;;x
