CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
cdb_member;카리브 개발은행 가맹국;Member of the Caribbean Development Bank;;;;;;;;x;;;;;;;;;;;;;
cdb_chairmanship;카리브 개발은행 의장국;Holder of the Caribbean Development Bank Chairmanship;;;;;;;;x;;;;;;;;;;;;;
formthecdb_title;카리브 개발은행 설립;Establish the Caribbean Development Bank;;;;;;;;x;;;;;;;;;;;;;
formthecdb_desc;카리브해 개발은행은 카리브해의 국가들끼리 사회 및 경제에 자금을 지원하는 금융기관입니다. 카리브해 개발은행은 1969년 10월 18일 자메이카 킹스턴에서 협정을 통해 설립되어 1970년 1월 26일 발효했습니다. 은행의 상설 본점은 와일디, 세인트 마이클, 바베이도스에 있으며, 사무엘 잭맨 프레스코드 폴리테크닉 캠퍼스와 인접하며 다른 은행 사무실은 없습니다. 본사는 채무가 있는 모든 가맹국을 대상으로 회원국에서 모집한 직원과 함께 서비스를 제공합니다.;The Caribbean Development Bank (CDB) is a financial institution which assists Caribbean nations in financing social and economic programs in its member countries. CDB was established by an Agreement signed on October 18, 1969, in Kingston, Jamaica, and entered into force on January 26, 1970. The permanent headquarters of the bank is located at Wildey, St. Michael, Barbados; adjacent to the campus of the Samuel Jackman Prescod Polytechnic. There are no other offices of the bank. The headquarters serves all of the regional borrowing member countries with staff recruited from its members.;;;;;;;;x;;;;;;;;;;;;;
jointhecdb_title;카리브해 개발은행 가맹;Join the Caribbean Development Bank;;;;;;;;x;;;;;;;;;;;;;
jointhecdb_desc;카리브해 개발은행은 카리브해의 국가들끼리 사회 및 경제에 자금을 지원하는 금융기관입니다. 카리브해 개발은행은 1969년 10월 18일 자메이카 킹스턴에서 협정을 통해 설립되어 1970년 1월 26일 발효했습니다. 은행의 상설 본점은 와일디, 세인트 마이클, 바베이도스에 있으며, 사무엘 잭맨 프레스코드 폴리테크닉 캠퍼스와 인접하며 다른 은행 사무실은 없습니다. 본사는 채무가 있는 모든 가맹국을 대상으로 회원국에서 모집한 직원과 함께 서비스를 제공합니다.;The Caribbean Development Bank (CDB) is a financial institution which assists Caribbean nations in financing social and economic programs in its member countries. CDB was established by an Agreement signed on October 18, 1969, in Kingston, Jamaica, and entered into force on January 26, 1970. The permanent headquarters of the bank is located at Wildey, St. Michael, Barbados; adjacent to the campus of the Samuel Jackman Prescod Polytechnic. There are no other offices of the bank. The headquarters serves all of the regional borrowing member countries with staff recruited from its members.;;;;;;;;x;;;;;;;;;;;;;
leavethecdb_title;카리브해 개발은행 탈퇴;Leave the Caribbean Development Bank;;;;;;;;x;;;;;;;;;;;;;
leavethecdb_desc;카리브해 개발은행은 카리브해의 국가들끼리 사회 및 경제에 자금을 지원하는 금융기관입니다. 카리브해 개발은행은 1969년 10월 18일 자메이카 킹스턴에서 협정을 통해 설립되어 1970년 1월 26일 발효했습니다. 은행의 상설 본점은 와일디, 세인트 마이클, 바베이도스에 있으며, 사무엘 잭맨 프레스코드 폴리테크닉 캠퍼스와 인접하며 다른 은행 사무실은 없습니다. 본사는 채무가 있는 모든 가맹국을 대상으로 회원국에서 모집한 직원과 함께 서비스를 제공합니다.;The Caribbean Development Bank (CDB) is a financial institution which assists Caribbean nations in financing social and economic programs in its member countries. CDB was established by an Agreement signed on October 18, 1969, in Kingston, Jamaica, and entered into force on January 26, 1970. The permanent headquarters of the bank is located at Wildey, St. Michael, Barbados; adjacent to the campus of the Samuel Jackman Prescod Polytechnic. There are no other offices of the bank. The headquarters serves all of the regional borrowing member countries with staff recruited from its members.;;;;;;;;x;;;;;;;;;;;;;
cdbhigh;카리브해 개발은행 원조 많음;High Caribbean Development Bank Aid;;;;;;;;x;;;;;;;;;;;;;
cdbmedium;카리브해 개발은행 원조 보통;Medium Caribbean Development Bank Aid;;;;;;;;x;;;;;;;;;;;;;
cdblow;카리브해 개발은행 원조 적음;Low Caribbean Development Bank Aid;;;;;;;;x;;;;;;;;;;;;;
changecdb_title;카리브해 개발은행 원조 수준 조정;Change Caribbean Development Bank Aid Levels;;;;;;;;;;;;x
changecdb_desc;카리브해 개발은행의 의장국이므로 원조 수준을 우리나라의 경제적 필요에 맞게 바꿀 수 있습니다.;Since we are the chairman of the Caribbean Development Bank, perhaps we should use that power to change the Caribbean Development Bank aid level to better suit our country's economic needs?;;;;;;;;;;;;x
cdblow_title;카리브해 개발은행 원조 수준 낮음;Low Caribbean Development Bank Aid Levels;;;;;;;;;;;;x
cdbmedium_title;카리브해 개발은행 원조 수준 보통;Medium Caribbean Development Bank Bank Aid Levels;;;;;;;;;;;;x
cdbhigh_title;카리브해 개발은행 원조 수준 높음;High Caribbean Development Bank Aid Levels;;;;;;;;;;;;x
cdblow_desc;낮은 수준의 원조는 가맹국들의 경제에 도움을 거의 주지 못할 것입니다.;Low Caribbean Development Bank Aid Levels to the cdb members will not help their economy much.;;;;;;;;;;;;x
cdbmedium_desc;카리브해 개발은행 원조 수준 중간;Medium Caribbean Development Bank Aid Levels to the cdb members will help their economy a little.;;;;;;;;;;;;x
cdbhigh_desc;높은 수준의 원조는 가맹국들의 경제에 도움을 많이 줄 것입니다.;High Caribbean Development Bank Aid Levels to the cdb members will help their economy a lot.;;;;;;;;;;;;x
cdbhigh_gp;카리브해 개발은행 원조 수준 높음(채권국);High Caribbean Development Bank Aid Levels (Creditor Nation);;;;;;;;;;;;x
cdbmedium_gp;카리브해 개발은행 원조 수준 보통(채권국);Medium Caribbean Development Bank Aid Levels (Creditor Nation);;;;;;;;;;;;x
cdblow_gp;카리브해 개발은행 원조 수준 낮음(채권국);Low Caribbean Development Bank Aid Levels (Creditor Nation);;;;;;;;;;;;x
