CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
cis;독립국가연합;Commonwealth of Independent States;;;;;;;;;;X;;;;;;;
changecis_title;독립국가연합 중점 변경;Change Commonwealth of Independent States Focus;;;;;;;;x
changecis_desc;독립국가연합의 문화적 패권국이라는 지위를 이용해 무역, 민주주의, 사회주의, 비간섭주의를 육성하는 의제를 추진할 수 있습니다.;As we are the cultural hegemon of the Commonwealth of Independent States, we can use that position to push our agenda in the Commonwealth of Independent States to promote trade, promote democracy, promote socialism or to promote non-inteventionism.;;;;;;;;x
cisoption1_title;독립국가연합의 긴밀한 무역관계 육성;Promote closer trade ties in Commonwealth of Independent States;;;;;;;;x
cisoption1_desc;독립국가연합의 가맹국 간에 긴밀한 무역관계를 육성해 더 많은 자유무역협정을 맺음으로서 우리 기업들이 힘을 얻습니다.;Promote closer trade ties in Commonwealth of Independent States will give our companies a boost by allowing us to foster more free trade deals with other Commonwealth of Independent States nations.;;;;;;;;x
cisoption2_title;독립국가연합의 민주주의 육성;Promote democracy in Commonwealth of Independent States;;;;;;;;x
cisoption2_desc;독립국가연합 가맹국들에 민주주의를 육성해 회원국들이 더 개방적이고 책임감 있는 정부를 가지도록 돕습니다.;Promote democracy in Commonwealth of Independent States will increase the demand for democracy in Commonwealth of Independent States which will help encourage members to have more open and accountable governments.;;;;;;;;x
cisoption3_title;독립국가연합의 인권 및 복지 육성;Promote human rights & welfare in Commonwealth of Independent States;;;;;;;;x
cisoption3_desc;독립국가연합 가맹국들에 인권과 복지를 육성해 회원국들이 진정으로 시민들을 돌보는 더 인도적인 정부를 갖도록 돕습니다.;Promote human rights & welfare in Commonwealth of Independent States will help the Commonwealth of Independent States member states to have a more humane governments that truly care for their citizens.;;;;;;;;x
cisoption4_title;독립국가연합의 비간섭주의 장려;Promote non-interventionism in Commonwealth of Independent States;;;;;;;;x
cisoption4_desc;독립국가연합 가맹국들에 비간섭주의를 육성해 국제주의의 격동의 역풍으로부터 회원국들을 보호하고 회원국들을 내정간섭으로부터 보호합니다.;Promote non-interventionism in Commonwealth of Independent States to help protect members from the tumultous headwinds of internationalism and protect members from unwanted Commonwealth of Independent States interference in internal affairs.;;;;;;;;x
franc_area;프랑 통화연합 가맹국;Member of the Franc Currency Union;;;;;;;;x
post_colonial_chaos;독립 후 혼란;Post Independence Chaos;;;;;;;;x
revolution_chaos;혁명 시작;Revolutionary Stirrings;;;;;;;;x
cisoption1;독립국가연합 무역 중점;Commonwealth of Independent States Trade Focus;;;;;;;;x
cisoption2;독립국가연합 민주주의 중점;Commonwealth of Independent States Democracy Focus;;;;;;;;x
cisoption3;독립국가연합 사회주의 중점;Commonwealth of Independent States Socialism Focus;;;;;;;;x
cisoption4;독립국가연합 비간섭주의 중점;Commonwealth of Independent States Non-Interventionism Focus;;;;;;;;x
