CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
nuclear_power_ge_title;국내 원자력 발전 시행;Implement Nuclear Power in $COUNTRY$;;;;;;;;x;;;;;;;;;;;;;
nuclear_power_ge_desc;원자력 발전은 원자력 에너지를 방출하는 핵 반응을 이용해 전기를 생산합니다. 이 용어는 핵분열, 핵 붕괴, 핵융합을 포함합니다. 주로 주기율표의 악티니드족에 속하는 원소들의 핵분열이 가장 많은 에너지를 생산합니다.;Nuclear power is the use of nuclear reactions that release nuclear energy to generate heat, which most frequently is then used in steam turbines to produce electricity in a nuclear power plant. The term includes nuclear fission, nuclear decay and nuclear fusion. Presently, the nuclear fission of elements in the actinide series of the periodic table produce the vast majority of nuclear energy in the direct service of humankind, with nuclear decay processes, primarily in the form of geothermal energy, and radioisotope thermoelectric generators, in niche uses making up the rest.;;;;;;;;x;;;;;;;;;;;;;
wind_power_ge_title;국내 풍력 발전 시행;Implement Wind Power Farms in $COUNTRY$;;;;;;;;x;;;;;;;;;;;;;
wind_power_ge_desc;풍력 발전은 풍력 터빈을 통하여 공기의 흐름을 이용해 전기를 생산합니다. 화석 연료의 대안으로 여겨지는 풍력 발전은 재료가 풍부하며, 재생 가능하고, 깨끗하고, 온실 가스 배출이 없으며, 물을 소비하지 않으며, 토지를 거의 사용하지 않습니다.;Wind power is the use of air flow through wind turbines to mechanically power generators for electric power. Wind power, as an alternative to burning fossil fuels, is plentiful, renewable, widely distributed, clean, produces no greenhouse gas emissions during operation, consumes no water, and uses little land. The net effects on the environment are far less problematic than those of nonrenewable power sources. Wind farms consist of many individual wind turbines which are connected to the electric power transmission network. Onshore wind is an inexpensive source of electric power, competitive with or in many places cheaper than coal or gas plants.;;;;;;;;x;;;;;;;;;;;;;
solar_energy_ge_title;국내 태양열 발전 시행;Implement Solar Energy Farms in $COUNTRY$;;;;;;;;x;;;;;;;;;;;;;
solar_energy_ge_desc;태양열 발전은 태양 난방, 광학, 태양 열 에너지, 태양 건축, 인공 광합성과 같은 다양한 진화하는 기술을 사용하여 전기를 생산합니다. 능동 태양 기술은 에너지를 이용하기 위한 광전계, 집중태양광 및 태양열 온수기의 사용을 포함합니다.;Solar energy is radiant light and heat from the Sun that is harnessed using a range of ever-evolving technologies such as solar heating, photovoltaics, solar thermal energy, solar architecture, molten salt power plants and artificial photosynthesis. It is an important source of renewable energy and its technologies are broadly characterised as either passive solar or active solar depending on how they capture and distribute solar energy or convert it into solar power. Active solar techniques include the use of photovoltaic systems, concentrated solar power and solar water heating to harness the energy. The large magnitude of solar energy available makes it a highly appealing source of electricity.;;;;;;;;x;;;;;;;;;;;;;
bioenergy_ge_title;국내 생물 에너지 활용 시행;Implement the usage of Bioenergy in $COUNTRY$;;;;;;;;x;;;;;;;;;;;;;
bioenergy_ge_desc;생물 에너지는 생물학적인 자원에서 파생된 물질로 이용할 수 있는 재생 에너지로, 나무, 목재 폐기물, 짚, 거름, 사탕수수, 그리고 다양한 농업 공정에서 나오는 많은 부산물들을 포함합니다. 좁은 의미로는 생물 연료와 동의어이며, 넓은 의미로는 그와 관련된 사회, 경제, 과학 및 기술 분야를 포함합니다.;Bioenergy is renewable energy made available from materials derived from biological sources. Biomass is any organic material which has stored sunlight in the form of chemical energy. As a fuel it may include wood, wood waste, straw, manure, sugarcane, and many other by-products from a variety of agricultural processes. In its most narrow sense it is a synonym to biofuel, which is fuel derived from biological sources. In its broader sense it includes biomass, the biological material used as a biofuel, as well as the social, economic, scientific and technical fields associated with using biological sources for energy. This is a common misconception, as bioenergy is the energy extracted from the biomass, as the biomass is the fuel and the bioenergy is the energy contained in the fuel.;;;;;;;;x;;;;;;;;;;;;;
fusion_power_ge_title;국내 핵융합 발전 시행;Implement Fusion Power in $COUNTRY$;;;;;;;;x;;;;;;;;;;;;;
fusion_power_ge_desc;핵융합 발전은 더 무거운 핵을 형성하기 위해 두 개의 가벼운 원자핵을 융합시켜 에너지를 방출하는 핵융합 반응을 이용해 전기를 생산합니다. 핵융합 반응은 보통 섭씨 수백만도까지 가열된 중수소 및 삼중수소의 혈장에서 발생합니다. 전력 공급원으로서 핵융합은 핵분열보다 몇 가지 이론적인 이점을 가지고 있습니다.;Fusion power is energy generated by nuclear fusion, or, more specifically, the use of fusion reactions to produce heat for electricity generation. Fusion reactions fuse two lighter atomic nuclei to form a heavier nucleus, releasing energy. The fusion reaction normally takes place in a plasma of deuterium and tritium heated to millions of degrees. In stars gravity contains these "fuels". Outside of a star, the most researched way to confine the plasma at these temperatures while reactions take place is to use electric or magnetic fields. The major challenge in realising fusion power is to engineer a system that can confine the plasma long enough at high enough temperature and density. As a source of power nuclear fusion has several theoretical advantages over fission.;;;;;;;;x;;;;;;;;;;;;;
geothermal_energy_ge_title;국내 지열 발전 시행;Implement Geothermal Power in $COUNTRY$;;;;;;;;x;;;;;;;;;;;;;
