CODE;ENGLISH;;;;;;;;;;;x
EVTDESC1610094;1949년 11월 26일, 제헌의회가 B. R. 암베드카르가 이끄는 위원회가 초안을 작성한 인도 헌법을 채택했습니다. 인도는 헌법이 발효된 1950년 1월 26일을 공화국의 날로 지정했으며, 입헌군주제를 폐지하고 연방민주공화국을 수립했습니다. 정부의 구조는 영국과 비슷하지만 연방제 안에 속해 있었습니다. 초대 대통령은 라젠드라 프라사드가 맡았습니다.;;;;;;;;;;;x;;;;;;;;;
EVTDESC1610093;걸프만 아랍국가협력협의회는 이라크를 제외한 페르시아만의 모든 아랍국가, 즉 바레인, 쿠웨이트, 오만, 카타르, 사우디아라비아, 아랍에미리트로 구성된 지역 간 정치경제 연합체입니다. 1981년 5월 25일 기구의 천장이 조인됐고 공식적으로 출범했습니다. 원래 2,673,110 평방킬로미터에 이르는 이 조합은 바레인, 쿠웨이트, 오만, 카타르, 사우디아라비아, 아랍에미리트의 연합으로 이루어졌습니다. 1981년 11월 11일에는 걸프협력회의 회원국 간의 통일된 경제협정이 아랍에미리트 아부다비에서 체결됐습니다. 이 나라들은 종종 '걸프 국가'로 불립니다.;;;;;;;;;;;x;;;;;;;;;
EVTDESC123430;공식적으로 제15회 올림피아드 대회로 알려진 1952년 하계 올림픽은 1952년 7월 19일부터 8월 3일까지 핀란드 헬싱키에서 열린 국제 복합 스포츠 대회입니다. 헬싱키는 일찍이 제2차 세계대전으로 인해 취소된 1940년 하계 올림픽의 개최지로도 선정돘던 바 있습니다. 이 도시는 하계 올림픽이 열린 도시 중에서 최북단에 있습니다. 또한 인도유럽어권 국가가 아닌 곳에서 처음으로 열린 올림픽입니다. 2008년 베이징 하계 올림픽까지 역대 최다 세계 신기록이 깨진 올림픽이기도 했습니다. 소련, 중국, 홍콩, 인도네시아, 이스라엘, 태국, 자를란드는 1952년 헬싱키에서 올림픽에 처음 출전했습니다. 미국이 금메달과 종합 메달을 제일 많이 딴 올림픽이기도 합니다.;;;;;;;;;;;x;;;;;;;;;
EIS_NAME;붉은 동방;;;;;;;;;;;x
EIS_DESC;공산당이 중국에서 승리했습니다. 동유럽은 빨갛게 물들었습니다. 이러한 새로운 현실과 소련의 핵무기 개발 성공으로 인한 미국의 핵무기 독점 종식에 직면한 트루먼 행정부는 신속하게 견제 원칙을 강화하고 확장하기 위해 움직였습니다. 독일과 일본의 재무장을 시작으로, 미국은 공산국가의 침략에 대항하는 방벽의 형성을 시도했습니다. 철의 장막 뒷편에서, 소련은 동유럽에서의 자신의 권력을 공고히 하고 중국, 인도와 더 좋은 관계를 구축하고 있습니다. 초강대국이 강해지는 반면, 옛 식민제국은 점점 쇠락하고 있습니다. 인도의 탈식민지화와 함께 식민제국들에게 변화의 바람이 불고 있습니다. 이 식민제국들이 역사책에나 남게 되는 것은 시간문제입나다. 더 즉각적인 위험은 민족주의자들이 통일전쟁을 적극적으로 선동하고 있는 한반도에서 긴장이 고조되고 있다는 점입니다. 지금이야말로 나라를 발전시킬 위대한 지도자가 필요한 큰 격변의 시기입다. 그 지도자가 당신일까요?;;;;;;;;;;;x
EVTNAME_14740;신도시;;;;;;;;;;;x
EVTDESC_14740;국내의 한 도시가 세계의 부러움을 받고 있습니다. 이 도시는 강력한 기반시설망과 좋은 학교, 우수한 사회 복지를 자랑합니다. 전세계의 신문들은 지난 며칠 동안 기사에서 이 도시에 대해 좋은 칭찬들과 함께 $COUNTRY$ 정부를 빛낸 지구상에서 가장 이상적인 도시라고 묘사했습니다. 마침내 우리나라에 모범적인 도시가 생겼다는 사실을 자랑할 수 있습니다.;;;;;;;;;;;x
EVTDESC1610092;$COUNTRY$이(가)가 독립했습니다. 이를 통해 우리 $COUNTRY$이(가) 본토에 통합되는 사태를 피할 수 있었습니다. 국민들은 새로 획득한 자결권을 즐기면서 기뻐합니다. $CAPITAL$의 신정부는 지금이 우리에게 새로운 시대의 여명임을 천명했습니다.;;;;;;;;;;;x
EVTDESC100028;$COUNTRY의 자치권 보호에 대한 $MONARCHTITLE$의 비타협적 태도에 화가 난 시위대가 $CAPITAL$의 의회를 습격하고 쓰레기를 투척했습니다. 시위대는 $COUNTRY$의 독립을 의미하는 깃발을 내걸고 가구를 파괴했습니다. 진압대가 청사 안으로 진입하기 전에 시위대가 도주하면서 안타깝게도 경찰은 그들을 체포하지 못했습니다. 이는 시위대를 고무시켰고 국내에서 민족주의에 대한 지지를 드높였습니다.;;;;;;;;;;;x
