CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
nam_bloc2;비동맹진영;Non-Aligned Bloc;;;;;;;;x;;;;;;;;;;;;;
grant_rights_to_aborigine_title;오스트레일리아 원주민에게 완전한 시민권 지급;Grant Australian Aborigines Full Commonwealth Citizenship Rights;;;;;;;;x;;;;;;;;;;;;;
grant_rights_to_aborigine_desc;1949년 군대에 복무했거나 유권자로 등록한 경우 오스트레일리아 원주민에게도 연방 투표권을 확대했습니다. 당시 퀸즐랜드, 서부 오스트레일리아, 북부 영토에 살던 원주민들은 여전히 주 투표권이 없었고, 연방 투표권도 없었습니다. 1962년에야 모든 원주민에게 투표권이 확대됩니다. 모든 원주민들이 투표할 수 있게 된 최초의 연방 선거는 1963년 11월에 열렸습니다. 주 투표권은 1962년 서부 오스트레일리아에서 가장 먼저 허용했고, 가장 늦게 허용한 주는 1965년에 허용한 퀸즐랜드입니다. 1967년 국민투표에서 90%의 찬성으로 통과된 이 투표는 호주 원주민들이 특정 인종에 대한 특별법을 제정할 수 있는 영연방의 권리에 포함되도록 허용했고, 선거의 대표성을 결정하기 위한 계수에 포함되도록 했습니다. 이번 투표는 호주 국민투표 역사상 가장 많은 찬성표를 던졌습니다.;In 1949, the right to vote in federal elections was extended to Indigenous Australians who had served in the armed forces, or were enrolled to vote in state elections. At that time, those Indigenous Australians who lived in Queensland, Western Australia and the Northern Territory were still ineligible to vote in state elections, consequently they did not have the right to vote in federal elections. All Indigenous Australians were given the right to vote in Commonwealth elections in Australia by the Menzies government in 1962. The first federal election in which all Aboriginal Australians could vote was held in November 1963. The right to vote in state elections was granted in Western Australia in 1962 and Queensland was the last state to do so in 1965. The 1967 referendum, passed with a 90% majority, allowed indigenous Australians to be included in the Commonwealth's right to make special laws for specific races, and to be included in counts to determine electoral representation. This has been the largest affirmative vote in the history of Australia's referendums.;;;;;;;;x;;;;;;;;;;;;;
raise_oil_price;석유협력단의 유가 상승 공모;Oil Consortiums conspiring to raise Oil Prices;;;;;;;;x;;;;;;;;;;;;;
lower_oil_price;석유협력단의 유가 하락 공모;Oil Consortiums conspiring to lower Oil Prices;;;;;;;;x;;;;;;;;;;;;;
disvite_private_oil_cartels_title;민간석유회사에 대한 특별협정 파기;Revoke Special Concessions to Private Petroleum Corporations;;;;;;;;x;;;;;;;;;;;;;
disvite_private_oil_cartels_desc;석유 및 가스산업에서 양보는 일반적으로 정부 또는 정부기관이 탄화수소 탐사/개발/생산활동을 수행하기 위해 회사/회사 집단에 토지의 구성을 허가했음을 의미합니다. 이러한 양보는 회사들에게 매우 유리하며 기업들이 생산량 수준을 자유롭게 관리하게 해줍니다. 이를 통해 기업들은 석유 생산량을 늘리거나 줄임으로써 유가를 조절합니다.;In the oil and gas industry, a concession generally means a government or a government agency has granted a plot of land to a company or group of companies to conduct hydrocarbon exploration, development, or production activities. The concessions may be highly favourable to the companies and allow the companies free hand in controllong output levels. This in turn can enable the companies to use those concessions to increase or decrease oil output levels to control oil prices at our expense.;;;;;;;;x;;;;;;;;;;;;;
invite_private_oil_cartels_title;민간석유회사에 대한 특별협정 조인;Grant Special Concessions to Private Petroleum Corporations;;;;;;;;x;;;;;;;;;;;;;
invite_private_oil_cartels_desc;석유 및 가스산업에서 양보는 일반적으로 정부 또는 정부기관이 탄화수소 탐사/개발/생산활동을 수행하기 위해 회사/회사 집단에 토지의 구성을 허가했음을 의미합니다. 이러한 양보는 회사들에게 매우 유리하며 기업들이 생산량 수준을 자유롭게 관리하게 해줍니다. 이를 통해 기업들은 석유 생산량을 늘리거나 줄임으로써 유가를 조절합니다.;In the oil and gas industry, a concession generally means a government or a government agency has granted a plot of land to a company or group of companies to conduct hydrocarbon exploration, development, or production activities. The concessions may be highly favourable to the companies and allow the companies free hand in controllong output levels. This in turn can enable the companies to use those concessions to increase or decrease oil output levels to control oil prices at our expense.;;;;;;;;x;;;;;;;;;;;;;
oil_cartel;민간석유회사에 대한 특별협정;Special Concessions for Private Petroleum Corporations;;;;;;;;x;;;;;;;;;;;;;
deforestation1;최소규모 삼림 벌채;Light Deforestation;;;;;;;;x;;;;;;;;;;;;;
deforestation2;소규모 삼림 벌채;Minor Deforestation;;;;;;;;x;;;;;;;;;;;;;
deforestation3;중간규모 삼림 벌채;Moderate Deforestation;;;;;;;;x;;;;;;;;;;;;;
deforestation4;대규모 삼림 벌채;Heavy Deforestation;;;;;;;;x;;;;;;;;;;;;;
deforestation5;최대규모 삼림 벌채;Massive Deforestation;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1410174;삼림 벌채란 숲을 제거하는 행위입니다. 삼림 벌채의 예로는 삼림지대를 농장, 목장 또는 도시 용도로 전환하는 것을 들 수 있습니다. 가장 집중적인 삼림 벌채는 열대우림에서 일어납니다. 지구 육지 표면의 약 30%가 숲으로 덮여있습니다. 삼림 벌채는 여러 가지 이유로 일어납니다. 건축에 쓰거나 연료로 팔기 위해 벌목을 한 후 땅은 가축과 농장의 목초지로 사용합니다. 충분한 삼림재생을 하지 않은 채 벌목하다보니 서식지가 훼손되고 생물다양성이 손실을 입으며, 습도 피해가 속출할 수 밖에 없습니다. 이는 대기 중의 이산화탄소 등 생화학물질에도 악영향을 미칩니다. 한편으로는 적군의 군사력과 중요한 자원을 빼앗기 위해 전쟁에서도 삼림 벌채를 사용했습니다. 해당 사례의 현대적인 예로는 말레이시아에서 영국군이 에이전트 오렌지를 사용한 일이나 베트남에서 미군이 고엽제를 사용한 사례를 들 수 있습니다. 2005년 현재, 1인당 국민소득이 4,600달러 이상인 나라들에서는 순삼림 벌채율이 증가하지 않고 있습니다. 삼림파괴 지역은 전형적으로 심각한 토양 침식을 일으키며 종종 황무지로 전락합니다.;Deforestation, clearance, or clearing is the removal of a forest or stand of trees where the land is thereafter converted to a non-forest use. Examples of deforestation include conversion of forestland to farms, ranches, or urban use. The most concentrated deforestation occurs in tropical rainforests. About 30% of Earth's land surface is covered by forests. Deforestation occurs for multiple reasons: trees are cut down to be used for building or sold as fuel, while cleared land is used as pasture for livestock and plantation. The removal of trees without sufficient reforestation has resulted in damage to habitat, biodiversity loss and aridity. It has adverse impacts on biosequestration of atmospheric carbon dioxide. Deforestation has also been used in war to deprive the enemy of cover for its forces and also vital resources. Modern examples of this were the use of Agent Orange by the British military in Malaya during the Malayan Emergency and the United States military in Vietnam during the Vietnam War. As of 2005, net deforestation rates have ceased to increase in countries with a per capita GDP of at least US$4,600. Deforested regions typically incur significant adverse soil erosion and frequently degrade into wasteland.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1410173;19세기부터 네팔의 구르카인은 영국인 밑에서 일했습니다. 처음에는 동인도회사의 군대에서, 후에는 영국령 인도군에서 일했습니다. 구르카족에 대한 복무조건은 런던의 중앙정부와는 아무런 언급도 없는 영국령 인도 당국의 문제일 뿐입니다. 1947년 인도가 독립하면서 영국군과 인도군은 구르카 연대를 분할하기로 결정했습니다. 6개의 구르카 부대는 신생 인도군의 일부로 편입되었고, 4개의 부대는 영국군으로 소속을 옮겼습니다. 이러한 협정의 일환으로 양국 군대 내의 구르카인들은 대략적으로 동일한 복무 조건을 향유해야 하며, 복무에 부당한 점이 없도록 하여 구르카 채용 지역의 경제적 안정과 사회적 조화를 유지하기로 합의했습니다. 후에 영국, 인도, 네팔 정부는 3자 협정에 서명했습니다.;From the first quarter of the 19th century, Gurkhas from Nepal had served under the British, first in the armies of the East India Company, and then the British Indian Army. The terms and conditions of service for the Gurkhas were solely a matter for the British Indian authorities, without reference to the British Government in London. In 1947, India became independent from the United Kingdom, and it was decided between the two governments to split the Gurkha regiments between the British and Indian armies ?six Gurkha units became part of the new Indian Army, while four were transferred to the British Army. As a part of this arrangement, it was agreed that Gurkhas in British and Indian service should enjoy broadly the same conditions of service, to ensure that there was no unfair advantage to serving in one or other, thus maintaining economic stability and social harmony in the Gurkha recruiting areas. Thus, the governments of the United Kingdom, India and Nepal came to sign the Tripartite Agreement (TPA).;;;;;;;;x;;;;;;;;;;;;;
gurkha;구르카 파견대;Gurkha Contingent;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1410171;관료제의 힌두교-이슬람 균형에 대한 질문은 민감한 문제입니다. 이슬람교도들은 행정, 경찰, 행정 서비스 분야에서 우위를 점하고 있었습니다. 침공 이전 네루가 지휘하던 인도 내각은 가능한 한 적은 변화가 있을 것이라고 결정했습니다. 하지만 네루의 경쟁자로 유명했던 파텔은 내각과 거의 상의하지 않고 부처를 운영했습니다. 초기 계획은 침공 후에 지켜지지 않았는데, 부분적으로는 행정기관에서 가진 다양한 수준의 이견 때문입니다. 100명 이상의 장교들을 인종적 차원에서 해임했고, 폭력사태에 대한 역할을 이유로 많은 지역 경찰관들을 구금했습니다. 이러한 사건은 새로운 직업에서도 볼 수 있었습니다. 이후 인도 정부는 인근 뭄바이, 마드리스 등에서 장교를 임명해 빈자리를 메꿨습니다. 그러나 이들은 언어가 달랐고 현지 상황에도 익숙하지 않았습니다. 네루는 이 '공동체 우월주의'에 반대했고 그들을 '무능한 외부인'이라고 불렀습니다. 또한 동시에 하이데라바드인들에게 거류권을 부과하려고 했습니다. 그러나 이는 위조된 문서를 사용함으로써 무효로 돌아갔습니다.;The question of Hindu-Muslim balance in the bureaucracy was a sensitive one. Muslims had predominated in the executive, police and administrative services. Before the invasion, the Indian Cabinet, with Nehru's leadership, decided that there would be as few changes as possible. However, Patel, who had a well-known rivalry with Nehru, ran his Ministry with little consultation with the Indian Cabinet. The initial plans were not followed after the invasion, partly due to different ideas at various levels of administration. Over a hundred officers were dismissed on an ethnic basis, from all levels, and many local officers were detained for their role in the violence. This pattern was seen in new hirings as well. Junior officers from neighbouring Bombay, CP and Madras regions were appointed to replace the vacancies. They were unable to speak the language and were unfamiliar with local conditions. Nehru objected to this "communal chauvinism" and called them "incompetent outsiders", and tried to impose Hyderabadi residency requirements: however, this was circumvented by using forged documents.;;;;;;;;x
end_nep_king_title;네팔 왕정 폐지;Abolish the Nepalese Monarchy;;;;;;;;x
end_nep_king_desc;전국적으로 방송된 텔레비전 연설에서, 갸넨드라 국왕은 2006년 4월 24일 네팔 하원을 복권했습니다. 국왕은 항구적인 평화와 다당제 민주주의를 지키는 동시에 국가의 통합과 번영의 길로 나아가야 할 책임을 7당연합에 촉구했고, 이들은 의회의 복구를 받아들이며 기리자 프라사드 코이랄라가 새 정부를 이끌 것이라고 선언했습니다. 또한 새 의회가 새 헌법을 제정할 기구에 대해 선거를 실시할 것이라고 말했습니다. 그러나 이러한 움직임은 모택동주의자들의 거부에 직면했습니다. 바부람 바타라이는 의회를 복원하는 것만으로는 문제가 해결되지 않을 것이며 반군은 정부군과 계속 싸울 계획이라고 말했습니다. 그들은 여전히 의회 구성과 군주제 폐지를 요구했습니다. 하지만 4월 27일 반군들은 기리자 프라사드 코이랄라의 요구에 응했고 일방적으로 3개월간의 휴전을 선언했습니다. 이와 함께 5월 1일, 바타라이는 "성당 총회 선거가 자유롭고 공정하다면 선거결과를 존중해야 한다."고 발표했습니다. 이는 모택동주의자들이 민주적 절차를 수용하는 첫 징후를 보여줌으로써 큰 진전이라고 여겨졌습니다. 5월 2일 코이랄라는 자신과 네팔 의회의 세 명의 다른 장관, CPN의 K.P. 샤르마 올리, 네팔리 의회의 고팔 맨 슈레스타, 그리고 연합좌파전선의 프라부 나라얀 차우하리 등 새로운 정부 내각을 발표했습니다. 5월 12일에는 축출된 왕당정부의 장관 4명을 체포했고, 총파업 기간 동안 군대가 저지른 인권 침해에 대한 조사가 뒤따랐습니다.;In a nationally televised address, King Gyanendra reinstated the old Nepal House of Representatives on April 24, 2006. The King called upon the Seven Party Alliance (SPA) to bear the responsibility of taking the nation on the path to national unity and prosperity while ensuring permanent peace and safeguarding multiparty democracy. The reinstitution of Parliament was accepted by the SPA. It declared that Girija Prasad Koirala would lead the new government. The SPA stated that the new parliament will hold elections for a body that would write a new constitution. The move was rejected by the Maoists. Baburam Bhattarai stated that merely restoring the parliament was not going to resolve the problems and that the rebels planned to continue fighting against government forces. They still demanded the formation of a Constituent Assembly and abolition of the monarchy. On April 27, however, the Maoist insurgents responded to demands by Girija Prasad Koirala and announced a unilateral three-month truce in the Nepalese Civil War. In addition to this, on May 1, Bhattarai announced that if "the elections to a Constituent Assembly are free and fair, one has to respect the result of the elections. Then of course we will abide by the verdict of the people." This was seen as a large step forward as it shows the first signs of Maoist acceptance of the democratic process. On May 2, Koirala announced the new government cabinet including himself and three other ministers from the Nepali Congress, K.P. Sharma Oli from CPN (UML), Gopal Man Shrestha from Nepali Congress (Democratic) and Prabhu Narayan Chaudhari from the United Left Front. This was followed on May 12 by the arrest of four ministers from the ousted royalist government and an investigation into alleged human rights violations by the army during the General Strike.;;;;;;;;x
un_humanitarian_aid;국제연합 인도주의적 원조 도입;Receiving UN Humanitarian Aid;;;;;;;;x
request_un_humanitarian_aid_title;국제연합 인도주의적 원조 요청;Request for UN Humanitarian Aid;;;;;;;;x
request_un_humanitarian_aid_desc;구호물자를 전달하는데는 국제연합 개발계획, 국제연합 난민기구, 국제연합 아동기금, 세계식량계획 등 국제연합 산하 4개 단체가 주된 역할을 합니다. 국제연합 계발계획은 자연 재해 완화, 예방 및 준비를 위한 운영 활동을 담당하는 기관입니다. 국제연합 계발계획의 상주 조정자는 긴급 상황이 발생했을 때 국가 차원에서 구호 및 복구 활동을 조정합니다. 상주 조정자는 전 세계 어느 곳에서나 생명을 구하는 인도주의적 행위에 대한 즉각적인 기금을 제공하기 위해 매년 자발적인 기부를 받습니다.;Four UN entities, the United Nations Development Programme (UNDP), the United Nations Refugee Agency (UNHCR), the United Nations Children's Fund (UNICEF) and the World Food Programme (WFP) have primary roles in the delivery of relief assistance. UNDP is the agency responsible for operational activities for natural disaster mitigation, prevention and preparedness. When emergencies occur, UNDP Resident Coordinators coordinate relief and rehabilitation efforts at the national level. CERF receives voluntary contributions year-round to provide immediate funding for life-saving humanitarian action anywhere in the world.;;;;;;;;x
EVTDESC1410168;멕시코 정부는 미국과의 적대관계 위험을 감수하는 대신 장벽 건설비를 부담하기로 결정했습니다. 그들은 해당 결정이 양국간의 관계를 강화하는 한편 양국간의 마지막 외교분쟁이 되기를 희망합니다.;The Mexican Government has decided that it would not take the risk of antagonising relations with the USA and would pay for the Wall. They hope that this will strengthen the relations between our two nations and will be the last diplomatic squabble with us.;;;;;;;;x
tarrifs;미국의 35% 관세 부과;35% Tarrifs imposed on our exports to the United States;;;;;;;;x
great_wall_of_america;미국 대장벽;Great Wall of America;;;;;;;;x
great_wall_of_america_title;미국 대장벽 건설;Construct the Great Wall of America;;;;;;;;x
great_wall_of_america_desc;행정명령 13767호는 미국 남부 국경에 불법 이민과 마약 밀매, 인신매매, 테러 방지를 위해 적절한 감시인원을 배치하거나, 혹은 안전하고 연속적이며 감당할 수 없는 물리적 장벽을 건설해야 한다고 규정합니다. 대통령은 멕시코가 국경 장벽 건설비를 대신 부담할 것이라고 거듭 천명했습니다. 멕시코가 장벽 건설비를 지불하지 않을 경우, 멕시코에 경제제재를 가할 법안을 모색할 것입니다.;Executive Order 13767 states that a construction of a physical wall "or other similarly secure, contiguous, and impassable physical barrier" on the southern border of the United States must immediately be constructed, and that it be monitored by "adequate personnel" to prevent illegal immigration, drug trafficking and human trafficking, and acts of terrorism. The President has repeatedly vowed that Mexico will pay for construction of a border wall so a bill will be sent to Mexico to pay for the Wall with possible economic sanctions placed on Mexico if it refuses to pay for The Wall.;;;;;;;;x
EVTDESC1410166;행정명령 13767호는 미국 남부 국경에 불법 이민과 마약 밀매, 인신매매, 테러 방지를 위해 적절한 감시인원을 배치하거나, 혹은 안전하고 연속적이며 감당할 수 없는 물리적 장벽을 건설해야 한다고 규정합니다. 대통령은 멕시코가 국경 장벽 건설비를 대신 부담할 것이라고 거듭 천명했습니다. 멕시코가 장벽 건설비를 지불하지 않을 경우, 멕시코에 경제제재를 가할 법안을 모색할 것입니다.;Executive Order 13767 states that a construction of a physical wall "or other similarly secure, contiguous, and impassable physical barrier" on the southern border of the United States must immediately be constructed, and that it be monitored by "adequate personnel" to prevent illegal immigration, drug trafficking and human trafficking, and acts of terrorism. The US President has repeatedly vowed that Mexico will pay for construction of a border wall so a bill has been sent to Mexico to pay for the Wall with possible economic sanctions placed on Mexico if it refuses to pay for The Wall.;;;;;;;;x
