CODE;ENGLISH;;;;;;;;;;;x
space_agency;미국항공우주국;;;;;;;;;;;x
space_private;민간 주도 우주계획 지원;;;;;;;;;;;x
space_public;정부 주도 우주계획 지원;;;;;;;;;;;x
develop_space_rocket;우주선 발사용 로켓 개발 중;;;;;;;;;;;x
space_rocket;우주선 발사용 로켓 개발 기술 보유국;;;;;;;;;;;x
develop_space_satellite;인공위성 개발 중;;;;;;;;;;;x
develop_space_man;우주비행사 육성 중;;;;;;;;;;;x
develop_space_probes;우주탐사기 개발 중;;;;;;;;;;;x
develop_space_station;우주 정거장 개발 중;;;;;;;;;;;x
develop_moon_mission;달 탐사 계획 중;;;;;;;;;;;x
develop_mars_mission;화성 탐사 계획 중;;;;;;;;;;;x
space_satellite;인공위성 개발 기술 보유국;;;;;;;;;;;x
space_man;우주비행사 우주행 기술 보유국;;;;;;;;;;;x
space_station;우주 정거장 보유국;;;;;;;;;;;x
space_probe;우주탐사기 보유국;;;;;;;;;;;x
iss;국제우주정거장 계획 분담;;;;;;;;;;;x
space_project_attempted;최근 우주계획 시도;;;;;;;;;;;x
create_space_agency_title;국가 우주국 창설;;;;;;;;;;;x
create_space_agency_desc;국가 우주국은 우주계획을 성공적으로 시작하는데 필요한 기반 시설과 기술을 제공하는 우주계획의 필수 요건입니다.;;;;;;;;;;;x
create_rocket_title;우주선 발사용 로켓 개발;;;;;;;;;;;x
create_rocket_desc;우주 비행의 맥락에서 발사용 로켓 또는 운반 로켓은 지상에서 우주로 짐들을 운반하는데 쓰이는 로켓입니다. 발사체계에는 발사용 로켓, 발사대 및 기타 기반시설 등이 있습니다. 지구 궤도에서의 발사용 로켓은 일반적으로 최소 2단계를 가지며, 때로는 4단계를 넘는 경우도 있습니다.;;;;;;;;;;;x
create_satellite_title;인공위성 개발;;;;;;;;;;;x
create_satellite_desc;우주 비행의 맥락에서, 인공위성 또는 우주 위성은 인간이 의도적으로 궤도에 올려놓은 인공 물체입니다. 해당 물체들은 지구의 달과 같은 자연 위성과 구별하기 위해 인공위성이라고 불립니다. 현재 약 500개의 인공위성이 지구의 저궤도에, 50개가 중궤도에, 나머지는 정지 궤도에 있습니다.;;;;;;;;;;;x
create_space_man_title;우주비행사 육성 시작;;;;;;;;;;;x
create_space_man_desc;인간의 우주 비행은 우주선에 탑승한 승무원이나 승객들과 함께 하는 우주 여행입니다. 사람을 태우는 우주선은 인간 승무원에 의해 직접 운용될 수도 있고, 지구의 지상국에서 원격으로 작동될 수도 있고, 또는 자율적으로 작동할 수도 있으며, 인간의 개입 없이 특정한 임무를 수행할 수도 있습니다.;;;;;;;;;;;x
create_space_station_title;우주 정거장 설치;;;;;;;;;;;x
create_space_station_desc;궤도 정거장 또는 우주 정거장은 우주에서 활동하는 요원들을 지원하는 동시에 다른 우주선이 도킹할 수 있도록 고안된 체계입니다. 우주 정거장은 추진력이나 착륙 체계가 없어서 인간 우주 비행에 사용되는 다른 우주선과 구별됩니다.;;;;;;;;;;;x
create_space_probe_title;우주탐사기를 이용한 우주 탐사 착수;;;;;;;;;;;x
create_space_probe_desc;로봇 우주선 또는 우주탐사기는 원격으로 조종되는 나사 없는 우주선으로, 과학 연구 측정을 위해 고안었습니다. 많은 우주 탐사는 비용 절감과 위험 요소 감소로 인해 승무원 운영보다는 원격 조종이 더 적합합니다. 게다가 금성이나 목성처럼 일부 행성은 현재의 기술로는 인간의 생존에 너무 적대적입니다. 토성, 천왕성, 해왕성과 같은 현재의 우주 비행 기술로는 도달하기에는 너무 먼 행성들에게는 해당 탐사만이 유일한 방법입니다.;;;;;;;;;;;x
create_moon_mission_title;달 탐사 착수;;;;;;;;;;;x
create_moon_mission_desc;1969년 7월 20일 두 명의 미국 비행사를 시작으로, 총 12명의 사람이 달에 착륙했습니다. 이들은 41개월에 걸쳐 미항공우주국의 여섯 개의 임무를 수행했습니다.;;;;;;;;;;;x
create_mars_mission_title;화성 탐사 착수;;;;;;;;;;;x
create_mars_mission_desc;화성에 대한 인간의 임무는 19세기부터 공상과학, 공학, 그리고 과학적 제안의 주제가 되어왔습니다. 이 계획들은 화성에 착륙하여 최종적으로 정착한 후, 화성의 달인 포보스와 데이모스를 활용한다는 내용으로 구성되어 있습니다.;;;;;;;;;;;x
The exploration of Mars has been a goal of national space programs for decades. Preliminary work for missions that would involve human explorers has been undertaken since the 1950s, with planned missions typically being stated as taking place 10 to 30 years in the future when they are drafted. The list of manned Mars mission plans in the 20th century shows the various mission proposals that have been put forth by multiple organizations and space agencies in this field of space exploration.;;;;;;;;;;;x;
space_private_title;민간 우주 임무 정책 기금;;;;;;;;;;;x
space_private_desc;우주 시대의 초기 수십 년 동안, 소비에트 연방과 미합중국의 정부 우주 기관은 소련의 설계 부서와 미국의 민간 기업들과 협력하여 우주 기술을 개척했고, 새로운 우주 비행 기술의 개발과 우주 비행의 운영 비용 모두를 전적으로 지원했습니다. 유럽 우주국은 1975년에 우주 기술 개발의 동일한 모델을 따라 설립되었습니다. 이후 대형 방위사업자들은 정부 로켓에서 착안해 우주발사체 개발 및 운용에 착수했습니다. 지구 궤도에서의 민간 우주 비행은 통신 위성, 위성 텔레비전, 위성 라디오, 우주비행사 수송, 그리고 궤도 및 궤도 궤도 우주 관광이 포함됩니다.;;;;;;;;;;;x
space_public_title;정부 우주 임무 정책 기금;;;;;;;;;;;x
space_public_desc;우주 시대의 초기 수십 년 동안, 소비에트 연방과 미합중국의 정부 우주 기관은 소련의 설계 부서와 미국의 민간 기업들과 협력하여 우주 기술을 개척했고, 새로운 우주 비행 기술의 개발과 우주 비행의 운영 비용 모두를 전적으로 지원했습니다. 유럽 우주국은 1975년에 우주 기술 개발의 동일한 모델을 따라 설립되었습니다. 이후 대형 방위사업자들은 정부 로켓에서 착안해 우주발사체 개발 및 운용에 착수했습니다. 지구 궤도에서의 민간 우주 비행은 통신 위성, 위성 텔레비전, 위성 라디오, 우주비행사 수송, 그리고 궤도 및 궤도 궤도 우주 관광이 포함됩니다.;;;;;;;;;;;x
joiniss_title;국제우주정거장 계획 참가;;;;;;;;;;;x
joiniss_desc;국제우주정거장은 지구 궤도가 낮은 우주정거장 또는 거주가능한 인공위성을 가리킵니다. 해당 정거장은 1998년에 처음으로 궤도로 발사되어, 현재 궤도에서 가장 큰 인공위성으로서 지구에서 육안으로 볼 수 있습니다. ISS는 가압 모듈, 외부 트러스, 태양열 집합체 및 기타 구성 요소로 구성됩니다. 국제우주정거장의 부품들은 러시아의 로켓, 그리고 미국의 우주 왕복선을 통해 발사되었습니다. 국제우주정거장은 승무원들이 생물학, 인간 생물학, 물리학, 천문학, 기상학 등의 분야에 관해 실험하는 우주환경연구소의 역할을 합니다.;;;;;;;;;;;x
space_rocket_attempt_public_title;로켓 발사 시도;;;;;;;;;;;x
space_rocket_attempt_public_desc;국내 과학자들과 기술자들이 시제품 로켓을 만들었습니다. 우리가 해야 할 일은 정상 작동하는지를 검증하기 위해 로켓을 발사해보는 것입니다.;;;;;;;;;;;x
space_rocket_attempt_private_title;우주선 발사용 로켓 발사 시도;;;;;;;;;;;x
space_rocket_attempt_private_desc;국내 과학자들과 기술자들이 시제품 로켓을 만들었습니다. 우리가 해야 할 일은 정상 작동하는지를 검증하기 위해 로켓을 발사해보는 것입니다.;;;;;;;;;;;x
space_satellite_attempt_public_title;인공위성 발사 시도;;;;;;;;;;;x
space_satellite_attempt_public_desc;국내 과학자들과 기술자들이 시제품 인공위성을 만들었습니다. 우리가 해야 할 일은 정상 작동하는지를 검증하기 위해 로켓을 발사해보는 것입니다.;;;;;;;;;;;x
space_satellite_attempt_private_title;인공위성 발사 시도;;;;;;;;;;;x
space_satellite_attempt_private_desc;국내 과학자들과 기술자들이 시제품 인공위성을 만들었습니다. 우리가 해야 할 일은 정상 작동하는지를 검증하기 위해 로켓을 발사해보는 것입니다.;;;;;;;;;;;x
space_probe_attempt_public_title;우주탐사기 발사 시도;;;;;;;;;;;x
space_probe_attempt_public_desc;국내 과학자들과 기술자들이 시제품 우주탐사기를 만들었습니다. 우리가 해야 할 일은 정상 작동하는지를 검증하기 위해 로켓을 발사해보는 것입니다.;;;;;;;;;;;x
space_probe_attempt_private_title;우주탐사기 발사 시도;;;;;;;;;;;x
space_probe_attempt_private_desc;국내 과학자들과 기술자들이 시제품 우주탐사기를 만들었습니다. 우리가 해야 할 일은 정상 작동하는지를 검증하기 위해 로켓을 발사해보는 것입니다.;;;;;;;;;;;x
space_man_attempt_public_title;우주비행사 우주행 시도;;;;;;;;;;;x
space_man_attempt_public_desc;국내 과학자들과 기술자들이 우주비행사를 육성해냈습니다. 우리가 해야 할 일은 우주비행사를 로켓에 태워 발사하는 것입니다.;;;;;;;;;;;x
space_man_attempt_private_title;우주비행사 우주행 시도;;;;;;;;;;;x
space_man_attempt_private_desc;국내 과학자들과 기술자들이 우주비행사를 육성해냈습니다. 우리가 해야 할 일은 우주비행사를 로켓에 태워 발사하는 것입니다.;;;;;;;;;;;x
space_station_attempt_public_title;우주 정거장 설치 시도;;;;;;;;;;;x
space_station_attempt_public_desc;국내 과학자들과 기술자들이 시제품 우주 정거장을 만들었습니다. 우리가 해야 할 일은 정상 작동하는지를 검증하기 위해 로켓을 발사해보는 것입니다.;;;;;;;;;;;x
space_station_attempt_private_title;우주 정거장 설치 시도;;;;;;;;;;;x
space_station_attempt_private_desc;국내 과학자들과 기술자들이 시제품 우주 정거장을 만들었습니다. 우리가 해야 할 일은 정상 작동하는지를 검증하기 위해 로켓을 발사해보는 것입니다.;;;;;;;;;;;x
moon_mission_attempt_public_title;달 탐사 시도;;;;;;;;;;;x
moon_mission_attempt_public_desc;우리 우주국이 우주비행사를 달에 착륙시키는 임무를 구상하고 수립했습니다. 우리가 해야 할 일은 우주비행사들을 로켓에 실어 달로 발사하는 것입니다.;;;;;;;;;;;x
moon_mission_attempt_private_title;달 탐사 시도;;;;;;;;;;;x
moon_mission_attempt_private_desc;우리 우주국이 우주비행사를 달에 착륙시키는 임무를 구상하고 수립했습니다. 우리가 해야 할 일은 우주비행사들을 로켓에 실어 달로 발사하는 것입니다.;;;;;;;;;;;x
mars_mission_attempt_public_title;화성 탐사 시도;;;;;;;;;;;x
mars_mission_attempt_public_desc;우리 우주국이 우주비행사를 화성에 착륙시키는 임무를 구상하고 수립했습니다. 우리가 해야 할 일은 우주비행사들을 로켓에 실어 화성으로 발사하는 것입니다.;;;;;;;;;;;x
mars_mission_attempt_private_title;화성 탐사 시도;;;;;;;;;;;x
mars_mission_attempt_private_desc;우리 우주국이 우주비행사를 화성에 착륙시키는 임무를 구상하고 수립했습니다. 우리가 해야 할 일은 우주비행사들을 로켓에 실어 화성으로 발사하는 것입니다.;;;;;;;;;;;x
EVTDESC1400068;우주 건축의 주요한 노력인 국제우주정거장 모임은 1998년 11월에 시작되었습니다. 라스베트(여명)을 제외한 러시아 모듈이 도킹되었습니다. 127개의 우주 유영장은 우주 정거장에서 발원했으며 나머지 32개는 독의 에어록에서 발사되었습니다. 정거장의 각도는 정거장이 태양에 노출되는 궤도의 비율과 직접적으로 관련되기 때문에 항상 고려되어야 했습니다. 우주 왕복선은 "베타 컷오프"라고 불리는 한계 이상으로 최적으로 수행되지 않을 것입니다. 우주왕복선에서 발사된 많은 모듈은 우주정거장 처리 시설의 지상에서 통합되고 시험되어 출시 전에 문제를 찾아 수정했습니다.;;;;;;;;;;;x
