CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
us_ussr_timer;최근 진영 초월 공동계획 진행;Recently engaged in a cross-bloc joint project;;;;;;;;x;;;;;;;;;;;;;
coexistence_pledge;세계혁명 포기;Renounced the goal of world revolution;;;;;;;;x;;;;;;;;;;;;;
coexistence_pledge_title;마르크스주의자들의 세계혁명 포기;Renounce the Marxist Goal of World Revolution;;;;;;;;x;;;;;;;;;;;;;
coexistence_pledge_desc;세계혁명은 노동자 계층의 혁명적 행동을 통해 모든 나라의 자본주의를 타도한다는 마르크스주의적 개념입니다. 대부분의 학파에서 계급투쟁의 국제적 성격은 일국사회주의의 실패를 설명하는 비판적 요소입니다.\n\n[SUB_A7]Y따라서 세계혁명을 철회하는 것은 데당트(긴장 완화)를 위한 필수적인 선행 조건입니다.[SUB_A7]W;World revolution is the Marxist concept of overthrowing capitalism in all countries through the revolutionary action of the working class. In most schools, the international character of the class struggle is a critical element and an explanation of the failure of socialism in one country.\n\n[SUB_A7]YRenouncing World Revolution is thus a vital pre-requisite to starting detente[SUB_A7]W;;;;;;;;x;;;;;;;;;;;;;
cultural_outreach;진영 초월 문화 봉사;Cross-Bloc Cultural Outreach;;;;;;;;x;;;;;;;;;;;;;
cultural_outreach_title;동서 간의 문화 홍보 착수;Initiate a Cultural Outreach between the West and East;;;;;;;;x;;;;;;;;;;;;;
cultural_outreach_desc;미국의 교류 사업은 소련과의 냉전 동안 중요한 역할을 했습니다. 봉쇄의 아버지로 알려진 냉전의 핵심 인물 조지 케네넌은 문화를 국가간의 부정적인 정서를 줄이는 방법으로 여겼습니다. 미국과 소련 간의 문화 교류 사업의 예로는 연극, 박물관, 오페라 전시회가 있습니다. 표면적으로는 비정치적인 이같은 문화적 교류는 긴장을 완화하고 소련인의 시각에서 서방을 "인간화"하는 데 도움을 주었습니다.;Exchange Programs from the United States played a vital role during the Cold War with the Soviet Union. George Kennan, a key figure in the Cold War known as the father of containment, viewed culture as a way to decrease negative sentiments between countries. Examples of cultural exchange programs between the United States and the Soviet Union include theater, museum, and opera expositions. Although not political on the surface, cultural exchanges like these helped alleviate tensions and "humanise" the West in the eyes of the Soviets who witnessed them.;;;;;;;;x;;;;;;;;;;;;;
space_meeting;진영 초월 우주 협력;Cross-Bloc Cooperation in Space;;;;;;;;x;;;;;;;;;;;;;
space_meeting_title;진영 초월 우주 협력 착수;Initate Cross-Bloc Cooperation in Space Programs;;;;;;;;x;;;;;;;;;;;;;
space_meeting_desc;1970년 10월, 소비에트 과학 학회는 우주에서의 협력을 제안하는 미국 항공우주국의 서한에 응하여 기술적인 세부 사항을 논의하기 위한 회의를 열었습니다. 미 행정부는 이 계획을 열렬히 지지한다는 견해를 미국 항공우주국에 밝혔습니다. "사실, 나는 당신이 모스크바의 동료들에게 대통령이 당신을 이 임무에 참가하도록 보냈다고 말해 주었으면 합니다." 1972년 4월, 미국과 소련은 1975년 아폴로호유즈 실험 프로젝트의 개시를 약속하면서 '평화 용도의 외부 공간 탐색 및 사용에 관한 협력에 관한 협정'에 서명했습니다.;In October 1970, the Soviet Academy of Sciences responded to NASA's letter proposing a cooperative space mission, and there was subsequently a meeting to discuss technical details. The American administration enthusiastically espoused plans for the mission, and expressed these views to NASA: "[D]o anything you want to do...in fact, I want you to tell your counterparts in Moscow that the President has sent you on this mission." By April 1972, both the United States and the USSR signed an Agreement Concerning Cooperation in the Exploration and Use of Outer Space for Peaceful Purposes, committing to the launch of the Apollo뻊oyuz Test Project in 1975.;;;;;;;;x;;;;;;;;;;;;;
open_market;상대 초강대국의 수출에 맞설 경제 개방;Opened up economy to rival superpower's exports;;;;;;;;x;;;;;;;;;;;;;
open_market_title;상대 초강대국의 수출에 맞설 경제 개방;Open our economy up to our rival superpower's exports;;;;;;;;x;;;;;;;;;;;;;
open_market_desc;두 진영 모두 수많은 미개발 자원과 거대한 산업기반을 보유하고 있습니다. 이것은 우리가 무역을 시작할 수 있는 많은 경제적 잠재력을 제공하며, 상호 의존을 통해 전쟁을 억제할 수도 있습니다.;Both bloc leaders possess massive reserves of untapped resources and a huge industrial base. This offers a lot of economic potential for us to begin trade, which may make war less likely through interdependence.;;;;;;;;x;;;;;;;;;;;;;
research_partnership;진영 초월 합동 연구;Cross-Bloc Research Partnership;;;;;;;;x;;;;;;;;;;;;;
research_partnership_title;진영 초월 동반 연구 제안;Propose a Cross-Bloc Research Partnership;;;;;;;;x;;;;;;;;;;;;;
research_partnership_desc;냉전과 그에 따른 경쟁적인 연구는 어느 때보다도 강력한 연구 과학 단지를 만들어냈습니다. 비록 대부분의 개발은 비밀로 하고 있지만, 과학이나 저명한 연구실에서 첩보를 통해 개발이 빨리 유출된다는 것은 공공연한 사실입니다. 이러한 현실을 받아들이고 비군사적 기술개발에 있어서 경쟁 진영과 공식적으로 협력한다면, 우리 이념의 우월성을 보여주는 동시에 인류 전반을 발전시킬 수 있을 것입니다.;This Cold War and its competitive research efforts have created a more powerful research scientific complex than has ever existed before. Although we keep most of our developments a secret, almost everyone knows that the international nature of science and espionage in prominent labs mean that developments are quickly leaked, on both sides. We may accept this reality and formally cooperate with the rival bloc on non-military technological development, and show the superiority of our ideology while advancing humanity overall.;;;;;;;;x;;;;;;;;;;;;;
joint_nuclear_controls;초강대국간의 합동 핵실험 감독;Joint superpower nuclear testing oversight;;;;;;;;x;;;;;;;;;;;;;
joint_nuclear_controls_title;초강대국간의 합동 핵실험 감독 제안;Propose joint superpower nuclear testing oversight;;;;;;;;x;;;;;;;;;;;;;
joint_nuclear_controls_desc;1977년 10월, 미국, 영국, 소련은 핵실험 금지 협상을 재개했습니다. 세 핵보유국은 1970년대 후반 평화적 핵폭발의 일시적인 금지를 포함하여 모든 핵실험에 대한 금지 조항에 동의하면서 주목할만한 진전을 이루었지만, 규정 준수 방식에 대한 계속되는 의견 불일치는 1981년 로널드 레이건 대통령의 대통령 취임을 앞두고 협상을 종식시켰습니다. 1985년 소련 지도자 미하일 고르바초프는 일방적인 시험 모라토리엄(중단)을 발표했고, 1986년 12월 레이건 대통령은 포괄적인 핵실험 금지라는 장기적인 목표를 추구하겠다는 미국의 약속을 재확인했습니다. 1987년 11월에 핵실험 금지 협상이 재개되었고, 1987년 12월에는 지하 핵실험 탐지 연구를 위한 미국-소련 간의 공동사업이 뒤따랐습니다.;In October 1977, the US, UK, and Soviet Union returned to negotiations over a test ban. The three nuclear powers made notable progress in the late 1970s, agreeing to terms on a ban on all testing, including a temporary prohibition on PNEs, but continued disagreements over the compliance mechanisms led to an end to negotiations ahead of Ronald Reagan's inauguration as President in 1981. In 1985, Soviet leader Mikhail Gorbachev announced a unilateral testing moratorium, and in December 1986, Reagan reaffirmed US commitment to pursue the long-term goal of a comprehensive test ban. In November 1987, negotiations on a test ban restarted, followed by a joint US-Soviet program to research underground-test detection in December 1987.;;;;;;;;x;;;;;;;;;;;;;
open_borders;상대 초강대국에 국경 개방;Opened borders to the rival superpower;;;;;;;;x;;;;;;;;;;;;;
open_borders_title;상대 초강대국에 국경 개방 시작;Begin opening borders between the East and West;;;;;;;;x;;;;;;;;;;;;;
open_borders_desc;러시아 혁명 이후 공산주의 세계와 자본주의 세계 사이의 여행은 금지의 대상이었습니다. 그러나 마르크스주의적 세계혁명 개념이 주류인 공산주의 세계에서 자본주의에 대한 적대감이 사상 최저 수준으로 낮아지면서, 진영 간의 벽을 허물어야 할 때가 온 것 같습니다.;Since the Russian Revolution, travel has been forbidden between the communist and capitalist world. However, with the concept of the Marxist world revolution gone from mainstream communist thinking, and hostility to capitalism at an all-time low, perhaps it is time to tear down the wall between the blocs.;;;;;;;;x;;;;;;;;;;;;;
joint_aid;초강대국 간의 국제지원계획 협력;Superpowers cooperating in international aid programs;;;;;;;;x;;;;;;;;;;;;;
start_joint_aid_title;초강대국 간의 국제지원계획 협력 착수;Initiate superpower cooperation in international aid programs;;;;;;;;x;;;;;;;;;;;;;
start_joint_aid_desc;1987년 8월 소련은 관세 및 무역에 관한 일반협정에 참관국 자격을 공식적으로 요청했습니다. 동시에 다른 경제기구들로의 합류와 여러 지역기구들과의 접촉을 희망했습니다. 1988년에는 소련이 유럽 경제공동체와 관계 정상화 협약을 체결하면서 큰 진전이 있었습니다. 소련 정부는 그러면서도 한편으로는 세계은행이나 국제통화기금에 가입하는데는 관심이 없다고 공언했습니다. 소련 관료들은 국제통화체계를 제대로 관리하지 않았다고 주장하며 두 기관 모두 회원국의 통화를 자유롭게 환전할 수 있어야 하며 회원국들이 금 판매와 경제 성과에 대한 정확한 정보를 제공해야 한다고 요구했습니다.;In August 1987, the Soviet Union formally requested observer status in the General Agreement on Tariffs and Trade(GATT). The Soviet Union also expressed its desire to join other international economic organisations and establish contacts with other regional groups. A major step in this direction occurred in 1988 when the Soviet Union signed a normalisation agreement with the EEC. The Soviet government, however, professed no interest in joining the World Bank or the International Monetary Fund (IMF). Although Soviet officials claimed that the international monetary system "was not managed properly," it is more likely that IMF and World Bank regulations were the obstacles: both institutions required that members' currencies be freely convertible and that members provide accurate information concerning gold sales and economic performance.;;;;;;;;x;;;;;;;;;;;;;
receive_joint_aid;초강대국 금융 지원;Receiving Joint Superpower Monetary Aid;;;;;;;;x;;;;;;;;;;;;;
receive_joint_aid_title;초강대국 금융 지원 요청;Request Joint Superpower Monetary Aid;;;;;;;;x;;;;;;;;;;;;;
receive_joint_aid_desc;초강대국 간의 데탕트(긴장 완화)는 우리가 다른 초강대국에게 통화원조를 모색할 수 있는 새로운 기회를 열어 주었습니다. 다만 우리나라와 상대 초강대국의 관계가 좋아야 합니다.;The mood of detente between the superpowers has opened up new opportunities for us to seek joint superpower monetary aid. This is however dependent on the good relation between the Superpowers and our nation.;;;;;;;;x;;;;;;;;;;;;;
EVT_8023420_NAME;세계혁명 종료;End of the World Revolution;;;;;;;;x;;;;;;;;;;;;;
EVT_8023420_DESC;공산당 정보국의 주요 걸림돌은 '자본주의 국가와 어떤 관계를 맺어야 하는가'였습니다. 비록 공산주의 체제가 미래의 하나라는 것은 자명하나 현재 공산주의 체제는 대중을 통제하는 도구이며 곧 패망할 운명입니다. 그들이 우리에게 필요한 것, 다시 말해 총이나 음식 등을 가지고 있을지도 모릅니다. 어쨌든 $FROMCOUNTRY$(은)는 이 문제를 모두 해결한 것 같습니다. 어차피 자본주의 질서는 저절로 패망할 것이므로 당장의 목표는 공존하는 것입니다. 이는 수정주의이지만, 마르크스가 원자폭탄을 예견하지 못한 것과 같은 이치라고 할 수 있습니다. 그럼에도 (이것이 첫번째 사례는 아니지만) 우리나라의 이념적 근본을 의심한다면 현명하지 못한 일이라고 말할 수 있겠습니다.;One of the main sticking points in the Cominform was what kind of relations to have with capitalist countries. Though we know the communist system is the one of the future, and these states are tools to control the masses and doomed to fail, they may have things we need. Such as guns. Or food. Anyway, it seems $FROMCOUNTRY$ has resolved this question for all - the capitalist order will fall of its own accord, and the immediate goal is to coexist. While this is technically revisionism, perhaps it is true that Marx could not have foreseen the atom bomb. Still, though this is not the first such instance, questioning the foundation of our ideology may be unwise.;;;;;;;;x;;;;;;;;;;;;;
EVT_8023420_A;평화를 가져올 수 있다면 그렇게 한다.;If this brings peace, so be it.;;;;;;;;x;;;;;;;;;;;;;
