CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
capital_of_israel_title;성지;The Holy City;;;;;;;;x;;;;;;;;;;;;;
capital_of_israel_desc;요르단이 중동 전쟁에서 요르단강 서안과 동예루살렘을 불법적으로 점령했을 때, 그들은 성지에서의 유대인의 기도를 막음으로써 하늘에 죄를 범했습니다. 더 나쁜 것은, 그들이 솔로몬 신전의 유일한 흔적인 서쪽 성벽 밖에 빈민가를 조성했다는 것입니다. 역사는 예루살렘이 분열되면 유대인들의 학살과 국가적 굴욕도 따라온다는 사실을 알려줍니다. 유럽의 집단학살 같은 역사가 반복되지 않도록 할 것입니다. $COUNTRY$은(는) 예루살렘을 분단되지 않는 영원한 수도로 선포해야 합니다.;When Jordan unlawfully seized the West Bank and East Jerusalem following the Arab-Israeli War, they committed a crime against Heaven by blocking the Jewish people from prayer at its holy sites. Even worse, they have created a slum outside the Western Wall, the only remnant of the Temple of Solomon. History shows us that, while Jerusalem is divided, massacres of the Jews and national humiliation is unavoidable. Like the pogroms of Europe, we will ensure this history does not repeat - we have our strength through the State of $COUNTRY$, and must proclaim Jerusalem our undivided, eternal capital.;;;;;;;;x;;;;;;;;;;;;;
EVT_8000319_NAME;이슬람 원리주의자 알제리 내전 승리;Islamist Victory in the Algerian Civil War;;;;;;;;x;;;;;;;;;;;;;
EVT_8000319_DESC;알제리 내전은 일차적으로 정부와 이슬람 반군 간의 내전입니다. 반군은 나뉘었지만, 이들 가운데 승리한 집단은 다른 파벌들과 달리 이슬람국가 창설을 추구했고, 정부를 압박하는 대신 불안정하게 만들고 전복시켜 성소를 '정화'하려 했습니다. 그들의 구호는 "합의도, 휴전도, 대화도 없다"였습니다. 이들은 전반적으로 불안한 분위기를 조성하고 테러범들을 고용해 보안군은 물론 민간인을 겨냥했습니다. 이를 통해 자신들의 영토를 통제하면서 서방세계에 테러를 가하고 모든 이슬람 세계를 하나로 묶을 계획입니다.;The Algerian Civil War was primarily a war between the government and Islamist rebels. The opposition was fractured, but the ultimately victorious group, unlike the other factions, pursued the creation of an Islamic state and did not seek to pressure the government into concessions but to destabilise and overthrow it, to "purge the land of the ungodly." Their slogan inscribed on all communiques was: "no agreement, no truce, no dialogue." The group created an atmosphere of general insecurity and employed terrorism, targeting not only security forces but civilians. Now, in control of their own territory, they plan to bring terror to the West and unite all Islam.;;;;;;;;x;;;;;;;;;;;;;
EVT_8000319_A;그리고 그것은 정확히 우리가 할 일이다.;And that is precisely what we will do;;;;;;;;x;;;;;;;;;;;;;
EVT_8007700_NAME;인구학적 위기;Demographic crisis;;;;;;;;;;x
EVT_8007700_DESC;이스라엘은 건국 이후 스스로를 '유대인들의 민주국가'로 규정해왔습니다. 하지만 유대인들은 국내에서도 소수민족으로 전락하면서 둘은 갈등을 빚었고, 이제는 매우 어려운 결정을 내려야 할 때입니다. 유대인으로 남을까요, 아니면 민주적으로 지낼까요?;Since its establishment, Israel has been defined as a "Jewish and democratic state." However, the two have come at odds with each other. Jews are now a minority in their own country, leading to a very difficult decision: shall we stay Jewish, or shall we stay democratic?;;;;;;;;;;x
EVT_8007700_A;민주주의.;Democratic;;;;;;;;;;x
EVT_8007700_B;유대인.;Jewish;;;;;;;;;;x
EVT_8007700_C;2국체제를 시행할 때다.;It is time for a two-state solution;;;;;;;;;;x
EVT_8007700_D;소련에 명령복종을 거부하는 사람을 불러들이도록 부탁한다.;Beg the Soviets to let in the refuseniks;;;;;;;;;;x
EVT_8007609_NAME;이츠하크 벤즈비;Death of Yitzhak Ben Zvi;;;;;;;;;;X
EVT_8007609_DESC;이스라엘이 독립을 쟁취했을 때, 벤즈비는 1948년 5월 14일 독립선언서의 서명자 중 하나였습니다. 그는 마파이당원으로서 제1대, 제2대 국회에서 근무했습니다. 그리고 1952년 12월 8일 이스라엘의 대통령으로 선출돼 1952년 12월 16일 취임했으며, 죽을 때까지 대통령직을 수행했습니다. 그는 지금까지 대통령직을 가장 오랫동안 유지한 사람입니다.;When Israel gained its independence, Ben-Zvi was among the signatories of its Declaration of Independence on 14 May 1948. He served in the First and Second Knesset for the Mapai party. He was elected President of Israel on 8 December 1952, assumed office on 16 December 1952, and continued to serve in such position until his death, being the person who held this post for the longest period of time.;;;;;;;;;;X
EVT_8007622_NAME;영국령 팔레스타인 위임통치령 해체;End of the British Mandate for Palestine;;;;;;;;;;X
EVT_8007622_DESC;영국은 국제연합에 늦어도 1948년 8월 1일까지 통치를 종료하고 싶다는 의향을 유엔에 통보했으나, 1948년 5월 14일 팔레스타인에 대한 위임통치를 종료하겠다는 확고한 의지를 발표했습니다. 이에 대해 해리 S. 트루먼 대통령은 3월 25일 '불행히도 지금은 평화적인 방법으로 분할안을 수행할 수 없다는 사실이 명백해졌다'며 분할 대신 국제연합의 신탁통치안을 제안했습니다. 비상조치를 취하지 않는다면, 팔레스타인에서 법과 질서를 보존할 수 있는 방법은 없을 것이며, 폭력과 유혈이 성지 위로 내려올 것입니다. 결국 주민들 간의 대규모 내전이 불가피해집니다.;The British had notified the U.N. of their intent to terminate the mandate not later than 1 August 1948, However, early in 1948, the United Kingdom announced its firm intention to end its mandate in Palestine on 14 May. In response, President Harry S. Truman made a statement on 25 March proposing UN trusteeship rather than partition, stating that 'unfortunately, it has become clear that the partition plan cannot be carried out at this time by peaceful means... unless emergency action is taken, there will be no public authority in Palestine on that date capable of preserving law and order. Violence and bloodshed will descend upon the Holy Land. Large-scale fighting among the people of that country will be the inevitable result.';;;;;;;;;;X
EVT_8007622_A;분할안을 준비한다.;Let's prepare a partition plan;;;;;;;;;;X
EVT_8007623_NAME;국제연합의 팔레스타인 분할안;United Nations Partition Plan for Palestine;;;;;;;;;;X
EVT_8007623_DESC;1947년 5월 15일 국제연합은 11개국의 대표들과 함께 국제연합 팔레스타인 특별위원회를 설립했습니다. 해당 기구는 청문회를 실시하고 팔레스타인의 상황을 전반적으로 조사한 후 8월 31일에 보고서를 발표했습니다. 11월 29일, 국제연합 총회는 분할안에 대해 투표했고(기권: 10, 찬성: 33, 반대: 13), 동시에 유대계와 아랍계의 경계를 약간 조정했습니다. 분할안은 영국이 철수하는 당일부터 발효될 예정이었고, 미국과 소련 모두 결의안을 지지했습니다. 그러나 당시 투표위원이었던 아랍 연맹 소속 5개국은 이 계획에 반대표를 던졌습니다.;The UN created UNSCOP (the UN Special Committee on Palestine) on 15 May 1947, with representatives from 11 countries. UNSCOP conducted hearings and made a general survey of the situation in Palestine, and issued its report on 31 August. On 29 November, the UN General Assembly voted 33 to 13, with 10 abstentions, in favour of the Partition Plan, while making some adjustments to the boundaries between the two states proposed by it. The division was to take effect on the date of British withdrawal. Both the U.S. and the Soviet Union supported the resolution. The five members of the Arab League who were voting members at the time voted against the Plan.;;;;;;;;;;X
EVT_8007623_A;재검토한다.;Review the options;;;;;;;;;;X
EVT_8007624_NAME;이스라엘 독립;Independent Israel;;;;;;;;;;X
EVT_8007624_DESC;영국령 팔레스타인 위임통치령이 해체되면서 영국이 떠난 자리에 유대인들이 독립국을 결성했습니다.;With the end of British Mandate in Palestine, the British are leaving and the independent state of Israel is formed.;;;;;;;;;;X
EVT_8007624_A;알았다.;OK;;;;;;;;;;X
EVT_8007625_NAME;유대인 반란;Jewish revolt;;;;;;;;;;X
EVT_8007625_DESC;영국은 국제연합의 분할안 권고에도 불구하고 국경 분쟁을 막기 위해 팔레스타인에 아랍인 단일국가를 설립하기로 결정했습니다. 하지만 유대인과 아랍인 사이의 긴장감이 너무 높은 것이 문제입니다. 한편 유대인들은 자신들의 주권을 수호하기 위해 무기를 들기로 결심했습니다.;In spite of the recommendations of the UN Partition Plan, the British decided to set up a single Arab state in Palestine, to prevent quarelling over borders. However, the tensions between Jews and Arabs are far too high to bear and Jews decide to take up arms in fight for their statehood.;;;;;;;;;;X
EVT_8007625_A;알았다.;OK;;;;;;;;;;X
EVT_8007626_NAME;팔레스타인 독립;Independent Palestine;;;;;;;;;;X
EVT_8007626_DESC;영국령 팔레스타인 위임통치령이 해체되면서 영국이 떠난 자리에 아랍인들이 독립국을 결성했습니다.;With the end of British Mandate in Palestine, the British are leaving and the independent state of Palestine is formed.;;;;;;;;;;X
EVT_8007626_A;알았다.;OK;;;;;;;;;;X
EVT_8007627_NAME;아랍인 반란;Arab revolt;;;;;;;;;;X
