CODE;ENGLISH;;;;;;;;;;;x
Opportunity to Steal Research;연구 탈취 기회;;;;;;;;;;;;;
Our spies have gained the opportunity to steal research from another nation. Should we allow them to steal the research?;국내 첩보요원들이 타국의 연구자료를 훔칠 기회를 얻었습니다. 연구를 훔치도록 놔둬야 할까요?;;;;;;;;;;;x
Yes;그래.;;;;;;;;;;;x
No;아니.;;;;;;;;;;;x
Opportunity to Arrest the Opposition;야당 체포 기회;;;;;;;;;;;x
Our spies have gained the opportunity to arrest major opposition leaders. Should we give them the go ahead?;국내 첩보요원들이 주요 야당 지도부 체포할 기회를 얻었습니다. 체포하도록 놔둬야 할까요?;;;;;;;;;;;x
Opportunity to Gain Diplomatic Influence;영향력 강화 기회;;;;;;;;;;;x
Our spies have gained the opportunity to undermine sphere of another nation. Should we give them the go ahead?;국내 첩보요원들이 타국의 영향권을 약화할 기회를 얻었습니다. 약화하도록 놔둬야 할까요?;;;;;;;;;;;x
Exchange Intelligence with Ally?;동맹과의 정보 교환?;;;;;;;;;;;x
We have some secrets that we can exchange with a foreign government in exchange for better relations. Should we proceed?;관계 개선을 대가로 여러 비밀들을 외국 정부와 교환할 수 있습니다. 진행할까요?;;;;;;;;;;;x
Secrets are meant to be shared;비밀은 공유해야 의미가 있는 법이다.;;;;;;;;;;;x
Assassinate Foreign Politician?;외국 정치인 암살?;;;;;;;;;;;x
An opportunity has arisen which allows us to assassinate a prominent politician in a state unfriendly with us.;비우호적인 국가의 저명한 정치인을 암살할 기회가 찾아왔습니다.;;;;;;;;;;;x
Kill him (Risk of war);그를 죽인다(전쟁 발발 가능).;;;;;;;;;;;x
No, thanks;사양한다.;;;;;;;;;;;x
Prominent Politician Assassinated;주요 정치인 피살;;;;;;;;;;;x
Take revenge on $FROMCOUNTRY$!;$FROMCOUNTRY$에게 복수하겠다!;;;;;;;;;;;x
Chicken out;도망가!;;;;;;;;;;;x
A Quid Pro Quo?;보상?;;;;;;;;;;;x
No foreign interference in $COUNTRY_ADJ$ elections!;$COUNTRY$ 선거에 외국의 개입은 없다!;;;;;;;;;;;x
Assassinate Exiled Dissident?;망명 중인 반체제 인사 암살?;;;;;;;;;;;x
Everyone does it so why shouldn't we?;다들 그러는데 왜 우리만 안 되지?;;;;;;;;;;;x
Kill him (Risk of 5 infamy);죽인다(악명 : + 5);;;;;;;;;;;x
Exiled $FROMCOUNTRY_ADJ$ Dissident Assassinated;망명 중인 $FROMCOUNTRY_ADJ$ 정치인 피살;;;;;;;;;;;x
This is an infringement of $COUNTRY_ADJ$ sovereignty!;$COUNTRY$에 대한 주권 침해 행위다!;;;;;;;;;;;x
Say nothing, diplomatically;아무 말도 하지 않는다. 외교적으로는.;;;;;;;;;;;x
Federation with Malaysia?;말레이시아 연방?;;;;;;;;;;;x
Now that Sarawak is an independent country, should we join Malaysia who shares a similar culture to us?;사라왁이 이제 독립국이니 비슷한 문화를 공유하는 말레이시아에 합류해야 할까요?;;;;;;;;;;;x
Sign the Act of Union;연합법에 서명한다.;;;;;;;;;;;x
Retain our independence don't sign the Act;연합법에 서명하는 대신 독립을 유지한다.;;;;;;;;;;;x
Federation with Malaysia?;말레이시아 연방?;;;;;;;;;;;x
Now that Sabah is an independent country, should we join Malaysia who shares a similar culture to us?;사바가 이제 독립국이니 비슷한 문화를 공유하는 말레이시아에 합류해야 할까요?;;;;;;;;;;;x
Union with Japan?;일본과의 통일?;;;;;;;;;;;x;
Now that Ryukyu is an independent country, should we join Japan who shares a similar culture to us?;류큐가 이제 독립국이니 비슷한 문화를 공유하는 일본에 합류해야 할까요?;;;;;;;;;;;x
Independence of $COUNTRY$;$COUNTRY$ 독립;;;;;;;;;;;x
We have gained our independence from our former colonial oppressors so it is time we shake off the vestiges of our colonial past and declare a republic!;이전의 식민지배자들에게서 독립을 쟁취했습니다. 이제 식민지 시절의 흔적을 떨쳐버리고 공화국을 선언할 때입니다!;;;;;;;;;;;x
Freedom!;자유!;;;;;;;;;;;x
Do we want to help in Cuba's War of Independence?;쿠바 독립전쟁 원조?;;;;;;;;;;;x
The Soviet Union has a special interest in Cuba's survival as a communist Cuba in the USA's own backyard can be useful to threaten the US into agreeing into our demands... especially if we were to place nuclear bombs in Cuba.;소련은 쿠바의 생존에 특별한 관심을 가지기 시작했습니다. 미국의 뒷마당인 쿠바에 공산주의 정권들 들어선다면 미국에게 요구에 동의하도록 위협하는데 유용할 수 있습니다. 특히 쿠바에 핵폭탄을 설치한 그 위력은 배로 늘어날 것입니다.;;;;;;;;;;;x
We shall help Cuba;쿠바를 도와야 한다.;;;;;;;;;;;x
We should not antagonise the USA;미국을 적대시해서는 안 된다.;;;;;;;;;;;x
Dollar Convertibility Benefits;달러 태환성의 이점;;;;;;;;;;;x
The Dollar Convertiblity of 1 USD to 1 Troy Ounce of Gold offers us much economically stability as the World now uses the American Dollar which is in turn pegged to Gold.;현재 세계가 미화 1달러-금화 1온스 태환성을 통해 금화에 고정된 미국 달러화를 사용함에 따라 우리에게 경제적으로 많은 안정성을 제공합니다.;;;;;;;;;;;x
Great and have you ever thought of pegging The Dollar to moondust instead?;좋아, 그렇다면 대신 달러화를 월진(달 토양의 미세한 입자)에 고정할 생각을 해본 적은 있는가?;;;;;;;;;;;x
License Raj;규제왕국;;;;;;;;;;;x;
The Licence Raj or Permit Raj was the elaborate system of licences, regulations and accompanying red tape that were required to set up and run businesses in India between 1947 and 1990.;규제왕국은 1947년에서 1990년 동안 인도에서 사업을 설립하고 운영하기 위해 필요했던 허가, 규정 및 그에 수반하는 정교한 제도를 가리키는 별칭입니다.;;;;;;;;;;;x
Let slip the dogs of Regulation;규제의 개를 풀어놓자.;;;;;;;;;;;x;
We are a Creditor Nation;채권국 지위 획득;;;;;;;;;;;x;
Our nation has reached a sufficient politico-economic status to be a creditor nation.;채권국의 지위를 획득하기에 충분한 정치경제적 지위에 도달했습니다.;;;;;;;;;;;x;
Rejoice!;기쁘다!;;;;;;;;;;;x;
We are no longer a Creditor Nation;채권국 지위 상실;;;;;;;;;;;x;
Our nation has not reached a sufficient politico-economic status to be a creditor nation anymore.;채권국의 지위를 획득하기에 충분한 정치경제적 지위를 상실했습니다.;;;;;;;;;;;x;
NOOOOOO!;안돼애애애!;;;;;;;;;;;x;
Chairmanship of the IMF;국제통화기금 의장국;;;;;;;;;;;x;;
The Chairmanship of the IMF is rotating again. The Chairmanship only lasts 5 years.;국제통화기금 의장직의 임기가 끝났습니다. 의장국의 임기는 5년입니다.;;;;;;;;;;;x;
We had a good run.;지금껏 잘 운영해왔다.;;;;;;;;;;;x;
