CODE;ENGLISH;;;;;;;;;;;;;
aiib_member;아시아 인프라 투자은행 가맹국;;;;;;;;;;;;;
aiib_chairmanship;아시아 인프라 투자은행 의장국;;;;;;;;;;;;;
formtheaiib_title;아시아 인프라 투자은행 설립;;;;;;;;;;;;;
formtheaiib_desc;아시아 인프라 투자은행은 21세기에 착안된 다자개발은행입니다. 창립국들은 참여 과정을 통해 핵심 철학, 원칙, 정책, 가치 체계, 운영 플랫폼을 개발합니다. 은행의 재단은 기존 다자개발은행과 민간 부문의 경험을 바탕으로 구축되었습니다. 이 회사의 운영 방식은 작고 효율적인 관리 팀과 고도로 숙련된 직원들 덕분에 윤리적인 조직이며, 환경을 존중하는 기관입니다. 아시아 인프라 투자은행은 지배구조, 책임성, 금융, 조달, 환경 및 사회적 틀에 대한 강력한 정책을 수립할 것입니다.;;;;;;;;;;;;;
jointheaiib_title;아시아 인프라 투자은행 가맹;;;;;;;;;;;;;
jointheaiib_desc;아시아 인프라 투자은행은 21세기에 착안된 다자개발은행입니다. 창립국들은 참여 과정을 통해 핵심 철학, 원칙, 정책, 가치 체계, 운영 플랫폼을 개발합니다. 은행의 재단은 기존 다자개발은행과 민간 부문의 경험을 바탕으로 구축되었습니다. 이 회사의 운영 방식은 작고 효율적인 관리 팀과 고도로 숙련된 직원들 덕분에 윤리적인 조직이며, 환경을 존중하는 기관입니다. 아시아 인프라 투자은행은 지배구조, 책임성, 금융, 조달, 환경 및 사회적 틀에 대한 강력한 정책을 수립할 것입니다.;;;;;;;;;;;;;
leavetheaiib_title;아시아 인프라 투자은행 탈퇴;;;;;;;;;;;;;
leavetheaiib_desc;아시아 인프라 투자은행은 21세기에 착안된 다자개발은행입니다. 창립국들은 참여 과정을 통해 핵심 철학, 원칙, 정책, 가치 체계, 운영 플랫폼을 개발합니다. 은행의 재단은 기존 다자개발은행과 민간 부문의 경험을 바탕으로 구축되었습니다. 이 회사의 운영 방식은 작고 효율적인 관리 팀과 고도로 숙련된 직원들 덕분에 윤리적인 조직이며, 환경을 존중하는 기관입니다. 아시아 인프라 투자은행은 지배구조, 책임성, 금융, 조달, 환경 및 사회적 틀에 대한 강력한 정책을 수립할 것입니다.;;;;;;;;;;;;;
aiibhigh;아시아 인프라 투자은행 원조 많음;;;;;;;;;;;;;
aiibmedium;아시아 인프라 투자은행 원조 보통;;;;;;;;;;;;;
aiiblow;아시아 인프라 투자은행 원조 적음;;;;;;;;;;;;;
changeaiib_title;아시아 인프라 투자은행 원조 수준 조정;;;;;;;;;;;;;
changeaiib_desc;아시아 인프라 투자은행의 의장국이므로 원조 수준을 우리나라의 경제적 필요에 맞게 바꿀 수 있습니다.;;;;;;;;;;;;;
aiiblow_title;아시아 인프라 투자은행 원조 수준 낮음;;;;;;;;;;;;;
aiibmedium_title;아시아 인프라 투자은행 원조 수준 중간;;;;;;;;;;;;;
aiibhigh_title;아시아 인프라 투자은행 원조 수준 높음;;;;;;;;;;;;;
aiiblow_desc;낮은 수준의 원조는 가맹국들의 경제에 도움을 거의 주지 못할 것입니다.;;;;;;;;;;;;;
aiibmedium_desc;보통 수준의 원조는 가맹국들의 경제에 도움을 조금밖에 주지 못할 것입니다.;;;;;;;;;;;;;
aiibhigh_desc;높은 수준의 원조는 가맹국들의 경제에 도움을 많이 줄 것입니다.;;;;;;;;;;;;;
aiibhigh_gp;아시아 인프라 투자은행 원조 수준 높음(채권국);;;;;;;;;;;;;
aiibmedium_gp;아시아 인프라 투자은행 원조 수준 중간(채권국);;;;;;;;;;;;;
aiiblow_gp;아시아 인프라 투자은행 원조 수준 낮음(채권국);;;;;;;;;;;;;
industrial_pop_boom;산업화 이후의 인구 급증;;;;;;;;;;;;;
