CODE;ENGLISH;;;;;;;;;;;;;;;
cdb_member;카리브 개발은행 가맹국;;;;;;;;;;;;;;;
cdb_chairmanship;카리브 개발은행 의장국;;;;;;;;;;;;;;;
formthecdb_title;카리브 개발은행 설립;;;;;;;;;;;;;;;
formthecdb_desc;카리브해 개발은행은 카리브해의 국가들끼리 사회 및 경제에 자금을 지원하는 금융기관입니다. 카리브해 개발은행은 1969년 10월 18일 자메이카 킹스턴에서 협정을 통해 설립되어 1970년 1월 26일 발효했습니다. 은행의 상설 본점은 와일디, 세인트 마이클, 바베이도스에 있으며, 사무엘 잭맨 프레스코드 폴리테크닉 캠퍼스와 인접하며 다른 은행 사무실은 없습니다. 본사는 채무가 있는 모든 가맹국을 대상으로 회원국에서 모집한 직원과 함께 서비스를 제공합니다.;;;;;;;;;;;;;;;
jointhecdb_title;카리브해 개발은행 가맹;;;;;;;;;;;;;;;
jointhecdb_desc;카리브해 개발은행은 카리브해의 국가들끼리 사회 및 경제에 자금을 지원하는 금융기관입니다. 카리브해 개발은행은 1969년 10월 18일 자메이카 킹스턴에서 협정을 통해 설립되어 1970년 1월 26일 발효했습니다. 은행의 상설 본점은 와일디, 세인트 마이클, 바베이도스에 있으며, 사무엘 잭맨 프레스코드 폴리테크닉 캠퍼스와 인접하며 다른 은행 사무실은 없습니다. 본사는 채무가 있는 모든 가맹국을 대상으로 회원국에서 모집한 직원과 함께 서비스를 제공합니다.;;;;;;;;;;;;;;;
leavethecdb_title;카리브해 개발은행 탈퇴;;;;;;;;;;;;;;;
leavethecdb_desc;카리브해 개발은행은 카리브해의 국가들끼리 사회 및 경제에 자금을 지원하는 금융기관입니다. 카리브해 개발은행은 1969년 10월 18일 자메이카 킹스턴에서 협정을 통해 설립되어 1970년 1월 26일 발효했습니다. 은행의 상설 본점은 와일디, 세인트 마이클, 바베이도스에 있으며, 사무엘 잭맨 프레스코드 폴리테크닉 캠퍼스와 인접하며 다른 은행 사무실은 없습니다. 본사는 채무가 있는 모든 가맹국을 대상으로 회원국에서 모집한 직원과 함께 서비스를 제공합니다.;;;;;;;;;;;;;;;
cdbhigh;카리브해 개발은행 원조 많음;;;;;;;;;;;;;;;
cdbmedium;카리브해 개발은행 원조 보통;;;;;;;;;;;;;;;
cdblow;카리브해 개발은행 원조 적음;;;;;;;;;;;;;;;
changecdb_title;카리브해 개발은행 원조 수준 조정;;;;;;;;;;;;;;;
changecdb_desc;카리브해 개발은행의 의장국이므로 원조 수준을 우리나라의 경제적 필요에 맞게 바꿀 수 있습니다.;;;;;;;;;;;;;;;
cdblow_title;카리브해 개발은행 원조 수준 낮음;;;;;;;;;;;;;;;
cdbmedium_title;카리브해 개발은행 원조 수준 보통;;;;;;;;;;;;;;;
cdbhigh_title;카리브해 개발은행 원조 수준 높음;;;;;;;;;;;;;;;
cdblow_desc;낮은 수준의 원조는 가맹국들의 경제에 도움을 거의 주지 못할 것입니다.;;;;;;;;;;;;;;;
cdbmedium_desc;카리브해 개발은행 원조 수준 중간;;;;;;;;;;;;;;;
cdbhigh_desc;높은 수준의 원조는 가맹국들의 경제에 도움을 많이 줄 것입니다.;;;;;;;;;;;;;;;
cdbhigh_gp;카리브해 개발은행 원조 수준 높음(채권국);;;;;;;;;;;;;;;
cdbmedium_gp;카리브해 개발은행 원조 수준 보통(채권국);;;;;;;;;;;;;;;
cdblow_gp;카리브해 개발은행 원조 수준 낮음(채권국);;;;;;;;;;;;;;;
