CODE;ENGLISH;;;;;;;;;;;;;;;
cis;독립국가연합;;;;;;;;;;;;;;;
changecis_title;독립국가연합 중점 변경;;;;;;;;;;;;;;;
changecis_desc;독립국가연합의 문화적 패권국이라는 지위를 이용해 무역, 민주주의, 사회주의, 비간섭주의를 육성하는 의제를 추진할 수 있습니다.;;;;;;;;;;;;;;;
cisoption1_title;독립국가연합의 긴밀한 무역관계 육성;;;;;;;;;;;;;;;
cisoption1_desc;독립국가연합의 가맹국 간에 긴밀한 무역관계를 육성해 더 많은 자유무역협정을 맺음으로서 우리 기업들이 힘을 얻습니다.;;;;;;;;;;;;;;;
cisoption2_title;독립국가연합의 민주주의 육성;;;;;;;;;;;;;;;
cisoption2_desc;독립국가연합 가맹국들에 민주주의를 육성해 회원국들이 더 개방적이고 책임감 있는 정부를 가지도록 돕습니다.;;;;;;;;;;;;;;;
cisoption3_title;독립국가연합의 인권 및 복지 육성;;;;;;;;;;;;;;;
cisoption3_desc;독립국가연합 가맹국들에 인권과 복지를 육성해 회원국들이 진정으로 시민들을 돌보는 더 인도적인 정부를 갖도록 돕습니다.;;;;;;;;;;;;;;;
cisoption4_title;독립국가연합의 비간섭주의 장려;;;;;;;;;;;;;;;
cisoption4_desc;독립국가연합 가맹국들에 비간섭주의를 육성해 국제주의의 격동의 역풍으로부터 회원국들을 보호하고 회원국들을 내정간섭으로부터 보호합니다.;;;;;;;;;;;;;;;
franc_area;프랑 통화연합 가맹국;;;;;;;;;;;;;;;
post_colonial_chaos;독립 후 혼란;;;;;;;;;;;;;;;
revolution_chaos;혁명 시작;;;;;;;;;;;;;;;
cisoption1;독립국가연합 무역 중점;;;;;;;;;;;;;;;
cisoption2;독립국가연합 민주주의 중점;;;;;;;;;;;;;;;
cisoption3;독립국가연합 사회주의 중점;;;;;;;;;;;;;;;
cisoption4;독립국가연합 비간섭주의 중점;;;;;;;;;;;;;;;
joincis_title;독립국가연합 가입;;;;;;;;;;;;;;;
joincis_desc;독립국가연합은 소련이 붕괴하면서 탄생한 유라시아의 공화국 간의 정치/경제적 연합체로, 9개의 회원국과 2개의 준회원국을 거느리고 있습니다. 독립국가연합은 초국가적인 힘은 없지만, 순수하게 상징적인 조직으로 남기보다는 통상, 금융, 법률 제정 및 보안 분야에서 조정 권한을 소유하는 것을 목표로 합니다.;;;;;;;;;;;;;;;
formthecis_title;독립국가연합 결성;;;;;;;;;;;;;;;
formthecis_desc;독립국가연합은 소련이 붕괴하면서 탄생한 유라시아의 공화국 간의 정치/경제적 연합체로, 9개의 회원국과 2개의 준회원국을 거느리고 있습니다. 독립국가연합은 초국가적인 힘은 없지만, 순수하게 상징적인 조직으로 남기보다는 통상, 금융, 법률 제정 및 보안 분야에서 조정 권한을 소유하는 것을 목표로 합니다.;;;;;;;;;;;;;;;
leavecis_title;독립국가연합 탈퇴;;;;;;;;;;;;;;;
leavecis_desc;독립국가연합은 소련이 붕괴하면서 탄생한 유라시아의 공화국 간의 정치/경제적 연합체로, 9개의 회원국과 2개의 준회원국을 거느리고 있습니다. 독립국가연합은 초국가적인 힘은 없지만, 순수하게 상징적인 조직으로 남기보다는 통상, 금융, 법률 제정 및 보안 분야에서 조정 권한을 소유하는 것을 목표로 합니다.;;;;;;;;;;;;;;;
cismember;독립국가연합 회원국;;;;;;;;;;;;;;;
cismembereng;독립국가연합 의장국;;;;;;;;;;;;;;;
