CODE;ENGLISH;;;;;;;;;;;;;
depressed_population;Depressed Population Growth;;;;;;;;;;;;;
depressed_population_desc;Years of destructive national strife has suppressed our people's desire to procreate.;;;;;;;;;;;;;
china_reduce_military_socre;The Chinese Military;;;;;;;;;;;;;
EVTDESC14120651;It was only a matter of time before this would have happened. Government officials have spent months trying to play down the threat of the viral epidemic ravaging through $COUNTRY$ so the natural consequence of this is reduced awareness for cleanliness and few good practices to avoid infection being adopted by the staff in the $MONARCHTITLE$'s Office. The media and opposition members of parliament have tried in vain to persuade the government to change course but to no avail. Today, the $MONARCHTITLE$ has tested positive for the virus that is currently ravaging through $COUNTRY$. How he got it will always remain a mystery as there are simply too many staff shuffling in and out of the $MONARCHTITLE$'s Office. The $MONARCHTITLE$ is however confident that he will not be taken out by the virus. With the nation's best doctors at his disposal, he would likely survive though there is always a small chance something might happen.;;;;;;;;;;;;;
EVTDESC8007303;During the Indonesian struggle for independence (1945-1949), the capital of the republic was moved several times - prompted by political and military emergency - as the seat of the republic in exile during the war. The capital moved from Jakarta to Yogyakarta (1946-1948) and then to Bukittinggi (1948-1949) as the seat of the Emergency Government of the Republic of Indonesia. By 1949, the national capital of the republic was returned to Jakarta. During Sukarno's presidency, Jakarta was established and developed as the capital of the new republic. In 1957, Sukarno laid the foundation and street grid layout of Palangkaraya as a new planned capital of Central Kalimantan province. Sukarno however, foresaw the new city as the possible new national capital in the future. The vast available area and its geographic location in the centre of the archipelago was the main advantage of the city. Nevertheless, Sukarno seemed to favour Jakarta instead.;;;;;;;;;;;;;
EVTDESC12280021;The 1954 to 1959 phase of the Vietnam War was the era of the two nations. Coming after the First Indochina War, this period resulted in the military defeat of the French, a 1954 Geneva meeting that partitioned Vietnam into North and South, and the French withdrawal from Vietnam, leaving the Republic of Vietnam regime fighting a communist insurgency with USA aid. During this period, North Vietnam recovered from the wounds of war, rebuilt nationally, and accrued to prepare for the anticipated war. In South Vietnam, Ngo ?inh Di?m consolidated power and encouraged anti-communism. This period was marked by U.S. support to South Vietnam before Gulf of Tonkin, as well as communist infrastructure-building.;;;;;;;;;;;;;
EVTDESC8500840;On 25 June 1950, the United Nations Security Council unanimously condemned the North Korean invasion of South Korea, with UN Security Council Resolution 82. The Soviet Union, a veto-wielding power, had boycotted the Council meetings since January 1950, protesting that the Taiwanese Republic of China and not the mainland People's Republic of China held a permanent seat in the UN Security Council. After debating the matter, the Security Council, on 27 June 1950, published Resolution 83 recommending member states provide military assistance to the Republic of Korea. On 27 June President Truman ordered US air and sea forces to help South Korea. On 4 July the Soviet Deputy Foreign Minister accused the US of starting armed intervention on behalf of South Korea.;;;;;;;;;;;;;
EVTDESC8500810;On 20 August 1950, Premier Zhou Enlai informed the UN that "Korea is China's neighbor... The Chinese people cannot but be concerned about a solution of the Korean question". Thus, through neutral-country diplomats, China warned that in safeguarding Chinese national security, they would intervene against the UN Command in Korea. President Truman interpreted the communication as "a bald attempt to blackmail the UN", and dismissed it. Mao ordered that his troops should be ready for action by the end of August. Stalin, by contrast, was reluctant to escalate the war with a Chinese intervention. On 1 October 1950, the day that UN troops crossed the 38th Parallel, the Soviet ambassador forwarded a telegram from Stalin to Mao and Zhou requesting that China send five to six divisions into Korea, and Kim Il-sung sent frantic appeals to Mao for Chinese military intervention. At the same time, Stalin made it clear that Soviet forces themselves would not directly intervene. After secretly crossing the Yalu River on 19 October, the PVA 13th Army Group launched the First Phase Offensive on 25 October, attacking the advancing UN forces near the Sino-Korean border.;;;;;;;;;;;;;
EVTDESC8011904;On the late morning of 8 July 1994, Kim Il-sung collapsed from a sudden heart attack at his residence in Hyangsan, North Pyongan. After the heart attack, Kim Jong-il ordered the team of doctors who were constantly at his father's side to leave, and arranged for the country's best doctors to be flown in from Pyongyang. After several hours, the doctors from Pyongyang arrived, but despite their efforts to save him, Kim Il-sung died later that day at the age of 82. Kim Il-sung's death resulted in nationwide mourning and a ten-day mourning period was declared by Kim Jong-il. His funeral was on July 17, 1994 in Pyongyang and was attended by hundreds of thousands of people who were flown into the city from all over North Korea.;;;;;;;;;;;;;
EVTDESC8011905;The North Korean famine was a period of mass starvation together with a general economic crisis from 1994 to 1998 in North Korea. The famine stemmed from a variety of factors. Economic mismanagement and the loss of Soviet support caused food production and imports to decline rapidly. A series of floods and droughts exacerbated the crisis. The North Korean government and its centrally planned system proved too inflexible to effectively curtail the disaster. Estimates of the death toll vary widely. Out of a total population of approximately 22 million, somewhere between 240,000 and 3,500,000 North Koreans died from starvation or hunger-related illnesses, with the deaths peaking in 1997.;;;;;;;;;;;;;
