CODE;ENGLISH;;;;;;;;;;;;x;
nam_bloc2;비동맹진영;;;;;;;;;;;;x;
grant_rights_to_aborigine_title;오스트레일리아 원주민에게 완전한 시민권 지급;;;;;;;;;;;;x;
grant_rights_to_aborigine_desc;1949년 군대에 복무했거나 유권자로 등록한 경우 오스트레일리아 원주민에게도 연방 투표권을 확대했습니다. 당시 퀸즐랜드, 서부 오스트레일리아, 북부 영토에 살던 원주민들은 여전히 주 투표권이 없었고, 연방 투표권도 없었습니다. 1962년에야 모든 원주민에게 투표권이 확대됩니다. 모든 원주민들이 투표할 수 있게 된 최초의 연방 선거는 1963년 11월에 열렸습니다. 주 투표권은 1962년 서부 오스트레일리아에서 가장 먼저 허용했고, 가장 늦게 허용한 주는 1965년에 허용한 퀸즐랜드입니다. 1967년 국민투표에서 90퍼센트의 찬성으로 통과된 이 투표는 호주 원주민들이 특정 인종에 대한 특별법을 제정할 수 있는 영연방의 권리에 포함되도록 허용했고, 선거의 대표성을 결정하기 위한 계수에 포함되도록 했습니다. 이번 투표는 호주 국민투표 역사상 가장 많은 찬성표를 던졌습니다.;;;;;;;;;;;;x;
raise_oil_price;석유협력단의 유가 상승 공모;;;;;;;;;;;;x;
lower_oil_price;석유협력단의 유가 하락 공모;;;;;;;;;;;;x;
disvite_private_oil_cartels_title;민간석유회사에 대한 특별협정 파기;;;;;;;;;;;;x;
disvite_private_oil_cartels_desc;석유 및 가스산업에서 양보는 일반적으로 정부 또는 정부기관이 탄화수소 탐사/개발/생산활동을 수행하기 위해 회사/회사 집단에 토지의 구성을 허가했음을 의미합니다. 이러한 양보는 회사들에게 매우 유리하며 기업들이 생산량 수준을 자유롭게 관리하게 해줍니다. 이를 통해 기업들은 석유 생산량을 늘리거나 줄임으로써 유가를 조절합니다.;;;;;;;;;;;;x;
invite_private_oil_cartels_title;민간석유회사에 대한 특별협정 조인;;;;;;;;;;;;x;
invite_private_oil_cartels_desc;석유 및 가스산업에서 양보는 일반적으로 정부 또는 정부기관이 탄화수소 탐사/개발/생산활동을 수행하기 위해 회사/회사 집단에 토지의 구성을 허가했음을 의미합니다. 이러한 양보는 회사들에게 매우 유리하며 기업들이 생산량 수준을 자유롭게 관리하게 해줍니다. 이를 통해 기업들은 석유 생산량을 늘리거나 줄임으로써 유가를 조절합니다.;;;;;;;;;;;;x;
oil_cartel;민간석유회사에 대한 특별협정;;;;;;;;;;;;x;
deforestation1;최소규모 삼림 벌채;;;;;;;;;;;;x;
deforestation2;소규모 삼림 벌채;;;;;;;;;;;;x;
deforestation3;중간규모 삼림 벌채;;;;;;;;;;;;x;
deforestation4;대규모 삼림 벌채;;;;;;;;;;;;x;
deforestation5;최대규모 삼림 벌채;;;;;;;;;;;;x;
