CODE;ENGLISH;;;;;;;;;;;;x;
homeland_productive_year;Bountiful Year;;;;;;;;;;;;x;
homeland_productive_year_desc;This year has been especially good for our country.;;;;;;;;;;;;x;
severe_homeland_drought;Severe Drought;;;;;;;;;;;;x;
severe_homeland_drought_desc;A severe drought is hitting this province.;;;;;;;;;;;;x;
homeland_drought;Drought;;;;;;;;;;;;x;
homeland_drought_desc;This province is currently under a drought.;;;;;;;;;;;;x;
EVTNAME6016829;The Year of Abundance;;;;;;;;;;;;x;
EVTDESC6016829;'Here is the best pasturage in the world - for a lean beast grows fat here in ten days. Wild game of every sort abounds. There are great quantities of wild sheep of huge size amid sublime plains and fine fields that yield bountiful harvests of wheat and every other kind of grain.'\n\n $YEAR$ was an especially bountiful year with excellent climate and rainfall, making the latest harvest something to behold. The effects of this perfect climate will be felt for a while and translate to higher agricultural output.;;;;;;;;;;;;x;
EVTOPTA6016829;We truly are blessed.;;;;;;;;;;;;x;
EVTNAME6016828;The Drought of $YEAR$;;;;;;;;;;;;x;
EVTDESC6016828;'For four miserable months they had endured a searing drought that still gripped almost all of $COUNTRY$ and showed no sign of abating. Cattle ranchers and wheat farmers, they could do nothing but watch helplessly as their fields and pastures scorched and cracked while the months crawled by with no rain. It was easy to see where wildfires had ripped across the high plains weeks earlier, because those fields were still black. And now there was nothing left to feed the cattle.'\n\nIt's been a long time since most of our homeland saw any rain. The $COUNTRY_ADJ$ people suffer under the drought that lasts several months and now the effects are being felt in agriculture - and they will be felt for a long time.;;;;;;;;;;;;x;
EVTOPTA6016828;When will it rain?;;;;;;;;;;;;x;
EVTDESC6016822;최근의 전쟁으로 인해 $COUNTRY$은(는) 승리한 국가에게 권력을 넘겨줄 것입니다. $CAPITAL$ 관리들은 $COUNTRY$ 국민들의 새로운 통치차를 맞이하기 위해 준비 작업을 마무리하고 있습니다.;;;;;;;;;;;;x;
EVTDESCEVTDESC6016823;최근의 전쟁으로 인해 종주국의 속국이 승리한 국가에게 권력을 넘겨줄 것입니다. 다행히도 $COUNTRY$은(는) 속국화조약에 포함되지 않았으므로 현재 종주국의 자랑스러운 회원국으로 남아있습니다.;;;;;;;;;;;;x;
EVTNAME6016824;$FROMCOUNTRY$ 속국화;;;;;;;;;;;;x;
EVTDESC6016824;최근 전쟁의 결과 $FROMCOUNTRY$이(가) 우리에게 속국으로서 권력을 넘겼습니다. $CAPITAL$의 관료들은 $FROMCOUNTRY$ 사람들을 환영하기 위한 준비를 마무리하고 있습니다. 이 사건은 $COUNTRY$ 영유권 보유 지역을 제외한 $FROMCOUNTRY$ 권역 전체를 괴뢰국으로 수립니다. 현지 정부의 형태도 우리 정부와 일치하도록 바뀝니다.;;;;;;;;;;;;x;
EVT6016824OPTA;환영한다.;;;;;;;;;;;;x;
transfer_vassalage_title;주종관계 조정;;;;;;;;;;;;x;
transfer_vassalage_desc;새로운 주인들과 어울릴 때가 왔습니다.;;;;;;;;;;;;x;
fanatic_army;광신적인 충성심;;;;;;;;;;;;x;
fanatic_army_desc;고도의 기강과 광신성이 특징인 국군이 명분을 위해 나서 싸울 사람들을 전국에서 모집하고 있습니다. 이렇게 징집된 병사들은 우리의 사명을 굳게 믿고 영원한 충성심을 가지고 있습니다.;;;;;;;;;;;;x;
law_changed_by_force;최근 법 개정;;;;;;;;;;;;x;
law_changed_by_force_desc;상원에 시급한 개혁의 통과를 강요했습니다.;;;;;;;;;;;;x;
cult_of_personality;개인 숭배;;;;;;;;;;;;x;
cult_of_personality_desc;개인 숭배는 개인이 대중매체, 선전 등의 방법을 사용해 한 개인을 이상화함으로써 숭고한 영웅상을 만드는 행위입니다. 높은 확률로 아첨과 칭찬도 따라옵니다.;;;;;;;;;;;;x;
the_cult_of_personality_title;개인 우상화;;;;;;;;;;;;x;
the_cult_of_personality_desc;"$MONARCHTITLE$께 감사합니다. 너무 즐겁기 때문에 감사합니다. 제가 아무리 나이가 들더라도, 우리가 이틀 전에 보았던 $MONARCHTITLE$의 존안을 결코 잊지 못할 것입니다. 시간이 얼마나 흐르더라도 우리 후손들은 우리를 가장 행복한 인간으로 여기게 될 것입니다. 왜냐하면 우리는 $MONARCHTITLE$(와)과 동시대에 살았기 때문입니다. 우리가 영감을 받은 지도자, $MONARCHTITLE$을(를) 볼 수 있는 특권을 누렸기 때문입니다. 모든 것은 우리의 위대한 나라의 우두머리, 당신의 것입니다. 그리고 제가 사랑하는 여자가 제게 아이를 선물할 때 건내는 첫 마디는 '$MONARCHTITLE$...'으로 시작합니다. 모든 나이의 사람들이 강하고, 아름답고, 현명하고, 경이로운 당신의 존함을 부를 것입니다. 당신의 존함은 모든 공장과 기계와 지구상의 모든 장소와 모든 사람의 마음 속에 새겨져 있습니다. 저는 당신 앞에 서 있는 저 자신을 발견할 때마다, 그 분의 힘과 매력, 위엄에 압도당했습니다. 저는 노래하고, 소리치고, 기쁨과 행복으로 소리치고 싶은 욕망을 경험했습니다.";;;;;;;;;;;;x;
renovate_capital_title;$CAPITAL$ 개조;;;;;;;;;;;;x;
renovate_capital_desc;$CAPITAL$은(는) 비좁은데다 누구도 좋아하지 않는 구식풍의 거리와 건물이 가득한 오래된 도시입니다. 현대 교통망을 구현하고 잠재적 위생 문제를 제거하기 위해, 그리고 $CAPITAL$을(를) $COUNTRY$의 수도로서의 가치가 있는 도시로 만들기 위해 수도 개조에 투자할 수 있습니다.;;;;;;;;;;;;x;
war_propaganda;전쟁 선전;;;;;;;;;;;;x;
war_propaganda_desc;현 대외정책을 지지하도록 국민을 몰아붙이며 대대적인 선전활동을 벌이고 있습니다.;;;;;;;;;;;;x;
government_propaganda;정부 선전;;;;;;;;;;;;x;
government_propaganda_desc;현 정부의 정책을 지지하도록 국민을 몰아붙이며 대대적인 선전활동을 벌이고 있습니다.;;;;;;;;;;;;x;
dissolve_the_upper_house_title;상원 해산;;;;;;;;;;;;x;
