CODE;ENGLISH;;;;;;;;;;;;x;
proxy_involvement;인접국 내전 당사국;;;;;;;;;;;;x;
support_rebels;반군 지원국;;;;;;;;;;;;x;
support_government;정부군 지원국;;;;;;;;;;;;x;
support_called;초강대국 원조 요청;;;;;;;;;;;;x;
crisis_timer;대리전 분쟁 지속중;;;;;;;;;;;;x;
stalemate;국제연합의 개입;;;;;;;;;;;;x;
support_rebels_title;인접국 반군 지원;;;;;;;;;;;;x;
support_government_title;인접국 정부군 지원;;;;;;;;;;;;x;
support_rebels_desc;대리전은 두 국가 또는 비국가 주체(예:반군, 테러 단체) 간의 갈등으로, 핵심 정의는 그 분쟁에 자신들의 이익이나 상대국의 견제를 위하여 둘 이상의 강대국이 개입한 분쟁을 말합니다. 이는 종종 두 나라가 상대방의 동맹국들과 싸우거나 그들의 동맹국들을 도와 상대와 싸우는 행위 또한 포함합니다.;;;;;;;;;;;;x;
support_government_desc;대리전은 두 국가 또는 비국가 주체(예:반군, 테러 단체) 간의 갈등으로, 핵심 정의는 그 분쟁에 자신들의 이익이나 상대국의 견제를 위하여 둘 이상의 강대국이 개입한 분쟁을 말합니다. 이는 종종 두 나라가 상대방의 동맹국들과 싸우거나 그들의 동맹국들을 도와 상대와 싸우는 행위 또한 포함합니다.;;;;;;;;;;;;x;
international_support_title;초강대국에 원조 요청;;;;;;;;;;;;x;
international_support_desc;대리전은 두 국가 또는 비국가 주체(예:반군, 테러 단체) 간의 갈등으로, 핵심 정의는 그 분쟁에 자신들의 이익이나 상대국의 견제를 위하여 둘 이상의 강대국이 개입한 분쟁을 말합니다. 이는 종종 두 나라가 상대방의 동맹국들과 싸우거나 그들의 동맹국들을 도와 상대와 싸우는 행위 또한 포함합니다.;;;;;;;;;;;;x;
